#N E pmin p1min pmax wmin wmax wave
13794 138274 5.7732e-15 5.7732e-15 1 0 2147483654.09117 916308.646743488
#nodeindex nodename nodeweight
0 HLA-DRA 5.7732e-15
1 KDM8 3.525e-14
2 LSM2 9.3425e-14
3 HLA-DQB1 1.2707e-13
4 NOTCH4 2.4863e-13
5 NSMCE1 4.6207e-13
6 HLA-DQA1 5.7732e-15
7 HSPA1L 5.8648e-12
8 C2 1.4407e-10
9 LY6G6F 1.5364e-10
10 GPANK1 2.1011e-10
11 GLB1 4.0891e-10
12 IL4R 5e-10
13 MSH5 1.6277e-09
14 RAB5B 2.0774e-09
15 PRRC2A 2.7294e-09
16 AGER 2.8002e-09
17 ERBB3 2.8635e-09
18 RPS26 2.9e-09
19 AIF1 2.9548e-09
20 PBX2 3.8813e-09
21 PPT2 7.5236e-09
22 EHMT2 1.5183e-08
23 SUOX 1.9484e-08
24 CFB 4.4365e-08
25 IKZF4 6.0918e-08
26 FCER1G 6.4531e-08
27 GPSM3 1.2414e-07
28 HSPA1A 5.8648e-12
29 POU2AF1 2.11e-07
30 EGFL8 2.5674e-07
31 TRIM31 2.9063e-07
32 PPP1R11 3.0306e-07
33 IKZF3 6.0918e-08
34 C6orf47 3.3451e-07
35 CSTA 4.1151e-07
36 IL13 5e-10
37 TNXB 4.866e-07
38 LPP 5.4464e-07
39 ZPBP2 3.0386e-07
40 GSDMB 3.0386e-07
41 GATA3 1.0208e-06
42 RAD50 1.2167e-06
43 HLA-DOA 6.6491e-13
44 ATAD2B 1.277e-06
45 TOMM40L 1.3006e-06
46 AGPAT1 3.8813e-09
47 DDAH2 1.5513e-06
48 HSPBP1 1.6707e-07
49 DEDD 1.6475e-06
50 NDUFS2 2.1679e-06
51 UBXN2A 3.0306e-07
52 BAG6 2.7294e-09
53 PPOX 2.4908e-06
54 MYB 2.5723e-06
55 FAM89B 2.9e-06
56 PSEN2 2.4863e-13
57 SLC39A7 3.2956e-06
58 TRIM26 3.0306e-07
59 MOG 4.1203e-06
60 MTHFS 4.1542e-06
61 MST1R 5.0607e-06
62 CLIC1 5.1543e-06
63 ORMDL3 5.9161e-07
64 ZCWPW1 5.3012e-06
65 ABHD16A 2.1011e-10
66 TSLP 5e-10
67 CSNK2B 6.655e-06
68 HSPA1B 1.6055e-06
69 KLHDC9 7.0992e-06
70 B4GALT3 7.2775e-06
71 FKBPL 2.5674e-07
72 CYP21A2 7.5799e-06
73 PFDN2 7.8734e-06
74 LY6G6C 8.5984e-06
75 CDK2 1.2167e-06
76 RNF39 1.0332e-05
77 MUC4 2.8635e-09
78 NYAP1 1.1414e-05
79 INSL4 1.1951e-05
80 GLIS3 1.3135e-05
81 FPR3 1.4821e-05
82 RBM5 1.63e-05
83 STAG3 1.6902e-05
84 ZPR1 1.7432e-05
85 MON1A 1.7439e-05
86 KDM6B 2.0446e-05
87 PVRIG 1.6902e-05
88 PTGS2 2.2134e-05
89 RBM6 2.2224e-05
90 C6orf15 2.3248e-05
91 XRN1 2.9e-09
92 CFTR 7.0693e-06
93 NR1I3 2.7324e-05
94 JAK2 5e-10
95 BCL7C 3.3261e-05
96 FBXL19 1.5183e-08
97 GPC2 3.4506e-05
98 SEMA3F 3.5367e-05
99 ANXA5 3.5556e-05
100 LY6G5B 8.5984e-06
101 STX1B 4.4198e-05
102 ITPR3 3.2135e-06
103 D2HGDH 4.9355e-05
104 CD28 5.7732e-15
105 HLA-DQA2 5.7732e-15
106 PILRB 6.0522e-05
107 VSIG2 6.0866e-05
108 CTF1 6.399e-05
109 NAA38 9.3425e-14
110 HSD3B7 6.7036e-05
111 ELF1 6.823e-05
112 STAT5A 3.1495e-05
113 PILRA 6.0522e-05
114 STK19 7.6778e-05
115 RORA 7.7311e-05
116 HLA-B 1.2707e-13
117 ZFP36L1 2.3952e-05
118 ITGB8 8.5725e-05
119 SETD1A 2.0446e-05
120 MICB 8.9929e-05
121 PPP6R1 9.304e-05
122 UBE2D2 9.5784e-05
123 NMBR 0.00011335
124 UFC1 0.00011687
125 MICA 8.9929e-05
126 NPTX2 0.00012819
127 ATF6B 0.0001343
128 SMAD4 1.0208e-06
129 DNAJC13 0.00013574
130 THBS3 0.00014008
131 INSL6 1.1951e-05
132 STX4 0.00015091
133 QPCTL 0.00015124
134 KRTCAP2 0.00015172
135 ELAC1 0.00015238
136 ADAD1 0.00015659
137 ADCY3 0.00016027
138 IL2RA 5e-10
139 ABCG1 0.00016757
140 MYH11 0.00016898
141 RAMP2 0.00017
142 ZNF668 0.00017373
143 SLBP 1.6475e-06
144 CHD3 1.5183e-08
145 JUP 0.00018193
146 APOA5 1.7432e-05
147 VKORC1 0.00019979
148 ATP6V1G2 0.00020061
149 KAT8 0.00020124
150 MGST1 0.00020304
151 BCKDK 0.00020624
152 TRAIP 0.00020871
153 ST20-MTHFS 0.0002144
