#N E pmin p1min pmax wmin wmax wave
13243 98958 5.7732e-15 5.7732e-15 0.99998 0 2147483651.70414 868039.336912198
#nodeindex nodename nodeweight
0 HLA-DRA 5.7732e-15
1 KDM8 3.525e-14
2 LSM2 9.3425e-14
3 HLA-DQB1 1.2707e-13
4 NOTCH4 2.4863e-13
5 NSMCE1 4.6207e-13
6 HLA-DQA1 1.2707e-13
7 HSPA1L 5.8648e-12
8 C2 1.4407e-10
9 LY6G6F 1.5364e-10
10 GPANK1 2.1011e-10
11 GLB1 4.0891e-10
12 IL4R 5e-10
13 MSH5 1.6277e-09
14 RAB5B 2.0774e-09
15 PRRC2A 2.7294e-09
16 AGER 2.8002e-09
17 ERBB3 2.8635e-09
18 RPS26 2.9e-09
19 AIF1 2.9548e-09
20 PBX2 3.8813e-09
21 PPT2 7.5236e-09
22 EHMT2 1.5183e-08
23 SUOX 1.9484e-08
24 CFB 4.4365e-08
25 IKZF4 6.0918e-08
26 FCER1G 6.4531e-08
27 GPSM3 1.2414e-07
28 HSPA1A 5.8648e-12
29 POU2AF1 2.11e-07
30 EGFL8 2.5674e-07
31 TRIM31 2.9063e-07
32 PPP1R11 3.0306e-07
33 IKZF3 3.0386e-07
34 C6orf47 3.3451e-07
35 CSTA 4.1151e-07
36 IL13 4.4755e-07
37 TNXB 4.866e-07
38 LPP 5.4464e-07
39 ZPBP2 3.0386e-07
40 GSDMB 9.3887e-07
41 GATA3 1.0208e-06
42 RAD50 1.2167e-06
43 HLA-DOA 5.7732e-15
44 ATAD2B 1.277e-06
45 TOMM40L 1.3006e-06
46 AGPAT1 3.8813e-09
47 DDAH2 1.5513e-06
48 HSPBP1 1.6707e-07
49 DEDD 1.6475e-06
50 NDUFS2 2.1679e-06
51 UBXN2A 2.4617e-06
52 BAG6 2.7294e-09
53 PPOX 2.4908e-06
54 MYB 1.0208e-06
55 PSEN2 3.2135e-06
56 SLC39A7 3.2956e-06
57 TRIM26 3.9792e-06
58 MOG 4.1203e-06
59 MTHFS 4.1542e-06
60 MST1R 5.0607e-06
61 CLIC1 5.1543e-06
62 ORMDL3 3.0386e-07
63 ZCWPW1 5.3012e-06
64 ABHD16A 2.1011e-10
65 TSLP 5e-10
66 CSNK2B 6.655e-06
67 HSPA1B 1.6707e-07
68 B4GALT3 7.2775e-06
69 FKBPL 2.5674e-07
70 CYP21A2 4.866e-07
71 PFDN2 7.8734e-06
72 LY6G6C 8.5984e-06
73 CDK2 9.7504e-06
74 RNF39 1.0332e-05
75 MUC4 1.0588e-05
76 NYAP1 1.1414e-05
77 INSL4 1.1951e-05
78 GLIS3 1.3135e-05
79 FPR3 1.4821e-05
80 BTNL2 1.613e-05
81 RBM5 1.63e-05
82 STAG3 1.6902e-05
83 ZPR1 1.7432e-05
84 MON1A 1.7439e-05
85 KDM6B 2.0446e-05
86 PVRIG 2.1363e-05
87 PTGS2 2.2134e-05
88 RBM6 2.2224e-05
89 C6orf15 2.3248e-05
90 XRN1 9.3425e-14
91 CFTR 5.1543e-06
92 NR1I3 2.7324e-05
93 JAK2 5e-10
94 BCL7C 3.3261e-05
95 FBXL19 1.5183e-08
96 GPC2 3.4506e-05
97 SEMA3F 3.5367e-05
98 ANXA5 3.5556e-05
99 LY6G5B 8.5984e-06
100 STX1B 4.4198e-05
101 ITPR3 3.2135e-06
102 D2HGDH 1.9484e-08
103 CD28 1.0208e-06
104 HLA-DQA2 1.2707e-13
105 PILRB 6.0522e-05
106 VSIG2 6.0866e-05
107 CTF1 6.399e-05
108 NAA38 6.4888e-05
109 HSD3B7 6.7036e-05
110 ELF1 6.823e-05
111 STAT5A 5e-10
112 PILRA 7.0549e-05
113 STK19 7.6778e-05
114 RORA 7.7311e-05
115 HLA-B 5.7732e-15
116 ZFP36L1 2.3952e-05
117 ITGB8 8.5725e-05
118 SETD1A 2.0446e-05
119 MICB 8.9929e-05
120 PPP6R1 9.304e-05
121 UBE2D2 9.5784e-05
122 NMBR 0.00011335
123 UFC1 0.00011687
124 MICA 8.9929e-05
125 NPTX2 0.00012819
126 ATF6B 0.0001343
127 SMAD4 1.0208e-06
128 DNAJC13 0.00013574
129 THBS3 0.00014008
130 INSL6 1.1951e-05
131 STX4 0.00015091
132 KRTCAP2 0.00015172
133 ELAC1 0.00015238
134 ADCY3 0.00016027
135 IL2RA 5e-10
136 ABCG1 0.00016757
137 MYH11 0.00016898
138 RAMP2 0.00017
139 ZNF668 0.00017373
140 SLBP 0.00017747
141 CHD3 0.00017999
142 JUP 0.00018193
143 APOA5 0.00018872
144 VKORC1 0.00019979
145 ATP6V1G2 0.00020061
146 KAT8 0.00020124
147 MGST1 0.00020304
148 BCKDK 0.00020624
149 TRAIP 0.00020871
150 ST20-MTHFS 4.1542e-06
151 CYB5D1 0.00021772
152 SLC8A3 0.00021793
153 SKIV2L 2.7294e-09
