#N E pmin p1min pmax wmin wmax wave
13913 157041 5.2885e-13 5.2885e-13 1 0 2147483648.28297 136747.409371604
#nodeindex nodename nodeweight
0 SIAH2 5.2885e-13
1 TOX3 6.1863e-11
2 FGFR2 6.1863e-11
3 ERICH6 1.0656e-08
4 MRPS30 4.7739e-07
5 ESR1 9.6889e-07
6 POU5F1 1.6978e-06
7 STRADB 1.7635e-06
8 LSP1 6.1863e-11
9 UBD 7.9217e-06
10 PPP1R18 1.0566e-05
11 HLA-F 1.0743e-05
12 CDSN 1.6705e-05
13 DHX16 1.7677e-05
14 MDC1 1.8889e-05
15 PSORS1C1 2.0049e-05
16 CCHCR1 1.6705e-05
17 DIP2A 2.6144e-05
18 C6orf15 2.6608e-05
19 TRAK2 1.7635e-06
20 RICTOR 5.0203e-05
21 TCF19 2.4692e-05
22 ZBED9 5.7182e-05
23 CHST9 5.9441e-05
24 HLA-DRA 8.3873e-05
25 YY1AP1 9.3519e-05
26 NLRP2 9.6237e-05
27 CFB 0.00010886
28 CLIC1 0.00011953
29 TRPS1 0.00012055
30 CCDC170 0.00012556
31 MYNN 0.00012775
32 DAP3 0.00013596
33 PEBP4 0.00013596
34 LY6G6F 0.00014719
35 CRK 5e-10
36 SETBP1 0.0001722
37 STXBP4 0.00017275
38 ARRDC3 0.00017521
39 SPON2 0.00018618
40 ATE1 0.0002052
41 HSPA1L 0.00021052
42 TRIM26 5.4107e-05
43 LRRC34 0.00012775
44 HSPA1B 0.00023519
45 ZFYVE26 0.00025342
46 TUBB 0.0002573
47 CASP8 0.00013596
48 ITPR3 0.00027506
49 RAD23A 0.0002797
50 APOBEC3C 0.00028216
51 ATXN3 0.0002797
52 APOBEC3A 0.00028216
53 MOG 0.00031427
54 PADI6 0.00033128
55 MED25 0.00034172
56 FLOT1 0.00034273
57 SLC14A2 0.00038614
58 NSUN2 0.00039482
59 ASH1L 9.3519e-05
60 FKBPL 0.00041098
61 GON4L 0.00041293
62 KIF5A 0.00043383
63 BTG4 0.00044969
64 MYO1C 0.0004498
65 ADAM29 0.0004572
66 FDX1 0.00046453
67 LSM2 1.7677e-05
68 PPP1R13L 0.0004774
69 DIRAS1 0.00052227
70 BIRC6 0.00052779
71 SDR9C7 0.00053486
72 HEBP2 0.00054143
73 LY6G5B 0.00014719
74 ACTRT3 0.00012775
75 NRM 5.4107e-05
76 CXCL12 9.6889e-07
77 EHMT2 0.00060275
78 CLDN14 0.00061615
79 WNT9B 0.00064812
80 RASGRP4 0.00065052
81 APOBEC3D 0.00065984
82 ARHGAP9 0.00066278
83 PTOV1 0.00034273
84 ITPR1 0.00027506
85 KCNF1 0.00069554
86 MAU2 0.00072167
87 TNNT3 0.00074269
88 ERICH5 0.00074643
89 ZMIZ1 0.00081648
90 EPS8L1 0.00084736
91 NAF1 0.00088084
92 SIGLEC1 0.00090642
93 EFCC1 0.00090665
94 CYP19A1 9.6889e-07
95 MGAT4C 0.00092402
96 PLD2 0.00099271
97 EGFL8 0.00041098
98 LCE2D 0.001
99 OTOG 0.0010071
100 QPCTL 0.0010118
101 PALB2 0.0010357
102 RAD51B 0.0010357
103 CDK4 0.0010709
104 NACA 0.001107
105 CD247 8.3873e-05
106 DTX3 0.0011586
107 SUGP1 0.0011704
