#N E pmin p1min pmax wmin wmax wave
6582 71046 2.77e-11 2.77e-11 0.99528 0 2147483649.29137 785894.123977837
#nodeindex nodename nodeweight
0 FAM13A 2.77e-11
1 RIN3 9.3e-11
2 ADGRG6 1.73e-08
3 ARHGEF38 2.63e-07
4 ABCE1 3.31e-07
5 ANAPC10 1.22e-06
6 GSTCD 1.72e-06
7 SULT1A2 2.01e-06
8 OTUD4 2.02e-06
9 SGF29 2.27e-06
10 INTS12 2.62e-06
11 SULT1A1 2.01e-06
12 CLN3 1.09e-05
13 FUT9 1.73e-05
14 WDR20 3.89e-05
15 TET2 4.16e-05
16 AGER 5.43e-05
17 PNMA1 6.81e-05
18 POFUT1 7.05e-05
19 MTCL1 8.64e-05
20 RNF41 8.64e-05
21 ATP2A1 9.06e-05
22 TMEM170A 9.46e-05
23 PBX2 0.00011999
24 ANKRD9 0.00015948
25 BTN3A2 0.00020251
26 OR6C65 0.0002107
27 SH2B1 0.00021125
28 ATXN2L 0.00022842
29 DSP 0.0002324
30 CFDP1 0.00026914
31 PLAGL2 0.00027024
32 TUFM 0.00027064
33 FUT11 0.00027084
34 SLC10A7 0.00027962
35 OR6C2 0.0002973
36 HCK 6.81e-05
37 OR6C3 0.0003703
38 PDRG1 0.00040356
39 GRIK2 0.00049584
40 SEC24C 0.00050579
41 RBP4 0.00057083
42 TM9SF4 0.00061815
43 ZSWIM8 0.00069652
44 NUPR1 0.00070233
45 DOCK5 0.00083166
46 LITAF 0.0008416
47 RABEP2 0.0008693
48 KIF3B 0.00091923
49 TIGD2 0.0010014
50 RAB11FIP2 0.0011806
51 TNXB 0.0011808
52 FGD6 0.0012023
53 SPNS1 0.0012635
54 HLA-DRA 0.00050579
55 MMP2 0.0015226
56 SUN5 0.0015462
57 MOK 0.001549
58 DKK2 0.0015977
59 HOXC13 0.0016129
60 SP100 0.0016238
61 LMF2 0.0016909
62 SUDS3 0.0016959
63 DEFA1 0.001704
64 TNRC6A 0.0017641
65 DNMT3A 4.16e-05
66 CDK17 0.001991
67 CDC123 0.0020377
68 BTN2A1 0.0020865
69 ACVR1B 0.0020925
70 LTBR 0.0021769
71 KCNG3 0.0022604
72 DCAF11 0.0022862
73 NDST2 0.0023552
74 OR2B2 0.0024263
75 SFTPD 0.0025147
76 FUT8 0.0025646
77 ITFG2 0.0020865
78 KAT6B 0.0026903
79 CAMK2G 0.0027173
80 NRIP2 0.0027501
81 LMBRD1 0.0027511
82 EXOC2 0.0028504
83 OOEP 0.0028529
84 ONECUT2 0.0028613
85 CD207 0.0029243
86 COX7A2L 0.0029982
87 DYDC1 0.0030229
88 NDUFC1 0.0031005
89 KLKB1 0.0032182
90 SRD5A3 0.003425
91 ASXL1 0.0034934
92 IRX6 0.0035003
93 ZKSCAN4 0.0035341
94 TAOK3 0.0035679
95 ST3GAL5 0.0036206
96 MANSC1 0.0036423
97 ZNF23 0.0037279
98 GTF3C1 0.0038649
99 SPOCK2 0.003992
100 LAT 0.0013631
101 SYCE1 0.0042004
102 NRL 0.0042428
103 PRRT1 0.004399
104 NAA15 0.0044638
105 ATF6B 0.0045825
106 ETV6 0.0046134
107 ATP6V0A2 0.0046532
108 ACTR2 0.0046696
109 DGKA 0.0046921
110 ANTXR1 0.004739
111 EGFL8 0.0047907
112 GPR135 0.0048308
113 ELK3 0.00486
114 ZNF839 0.0049562
115 EIF3E 0.0051685
116 CNNM1 0.0054285
117 HSP90AA1 0.0015226
118 CRADD 0.0054822
119 HHIP 0.0056257
120 TRIM40 0.0056339
121 NRBP2 0.0058681
122 ZNF330 0.0037279
123 EVL 0.00036077
124 STK19 0.0060701
125 DENND10 0.0061543
126 MSH5 0.0062135
127 FOXL1 0.0062405
128 CELSR1 0.0013631
129 NOL4L 0.0063807
130 PDHA2 0.006387
131 PYM1 0.0064965
132 MMP15 0.0015226
133 SNRPF 3.31e-07
134 TRIM31 0.0069938
135 C16orf72 0.0071941
136 OR12D3 0.0072497
137 CTDSP2 0.0073728
138 MMS19 0.0076408
139 H1-5 0.0002324
140 MSR1 0.0077457
141 RNF39 0.007758
142 STN1 0.0078032
143 RAB33B 0.0078051
144 SEC31A 0.00050579
145 CYP7A1 0.0083437
146 MICU3 0.0083852
147 CINP 0.0042004
148 GTF2H3 0.0084834
149 MCUR1 0.0085634
150 BZW1 0.0086614
151 DUSP15 0.0087108
152 FBXO9 0.0087161
153 RBBP8NL 0.0087201
154 EIF2B1 0.0051685
155 SLC8A1 0.0088868
156 CSNK2B 0.008966
157 C8orf74 0.009098
158 TMEM165 0.0091181
159 ACTN1 0.0091452
160 KHDC3L 0.009153
161 CLEC4F 0.0091959
162 ZSCAN26 0.009401
163 NDUFV2 0.0031005
164 EDN3 0.0095225
165 BCR 0.00036077
166 HFE 0.0095546
167 SH3PXD2A 0.0011806
168 WASHC2A 0.0096374
169 CDK4 0.0062135
170 GSTA4 0.0097848
171 DNAJC27 0.0098109
172 SCRIB 0.0062405
173 CD19 0.0099312
174 C6orf136 0.008966
175 RAB3IP 0.0094476
176 TRIM10 0.01024
177 METTL1 0.010241
178 AFF1 0.010434
179 GOLT1B 0.0094476
180 OGFR 0.0096438
181 UBOX5 0.010514
182 EMC9 0.010842
183 SLC25A21 0.010958
184 TERF2IP 0.0016238
185 RTEL1 2.77e-11
186 DLC1 0.011087
187 ZNF74 0.011102
188 DNAJB7 0.011271
189 TSHZ2 6.81e-05
190 CXCL3 0.01147
191 PRR30 0.011511
192 COLEC12 0.0015226
193 MYLIP 0.011787
194 MAPRE1 3.31e-07
195 ZNF319 0.012052
196 EXOC6B 0.0028504
197 CFB 0.012202
198 LZTR1 0.0016238
199 ADRM1 0.012528
200 CCSER1 0.011941
201 TFAP2B 0.012275
202 PLEC 0.012791
203 ARMC2 0.01295
204 TRIM15 0.012986
205 SART3 0.0065998
206 NFATC2IP 0.013046
207 TNFRSF21 0.013054
208 MGARP 0.013164
209 CYP39A1 0.013252
210 MED15 0.013465
211 JKAMP 0.013536
212 CDH11 0.013562
213 CST4 0.0065998
214 NEUROD1 0.0137
215 BMP4 0.013808
216 EIF3D 3.31e-07
217 HOXC9 0.00011999
218 NQO2 0.01395
219 TMEM230 0.013966
220 ECEL1 0.014165
221 CLEC7A 0.014183
222 PRR35 0.00027024
223 DYNC1H1 0.0013631
224 IFI27L2 0.014307
225 PLEKHG4 0.00036077
226 MFHAS1 0.0078032
227 DPEP2 0.014788
228 NSMAF 0.014967
229 FNIP2 0.0054795
