#N E pmin p1min pmax wmin wmax wave
6089 42571 2.77e-11 2.77e-11 0.99478 0 2147483651.64263 100890.263544153
#nodeindex nodename nodeweight
0 FAM13A 2.77e-11
1 RIN3 9.3e-11
2 ABCE1 3.31e-07
3 ANAPC10 1.22e-06
4 GSTCD 2.77e-11
5 SULT1A2 2.01e-06
6 OTUD4 2.02e-06
7 INTS12 1.72e-06
8 IL27 3.05e-06
9 DNAL1 7.3e-06
10 SULT1A1 2.01e-06
11 CLN3 1.09e-05
12 FUT9 1.73e-05
13 WDR20 3.89e-05
14 TET2 4.16e-05
15 APOBR 4.2e-05
16 AGER 5.43e-05
17 POFUT1 7.05e-05
18 EML4 7.08e-05
19 PVALB 8.32e-05
20 ELMSAN1 8.51e-05
21 RNF41 8.89e-05
22 ATP2A1 8.32e-05
23 TMEM170A 9.46e-05
24 PBX2 0.00011999
25 ANKRD9 0.00015948
26 BTN3A2 0.00020251
27 SH2B1 0.00021125
28 ATXN2L 0.00022842
29 DSP 0.0002324
30 CFDP1 9.46e-05
31 TUFM 0.00027064
32 FUT11 0.00027084
33 SLC10A7 0.00027962
34 HCK 0.00036077
35 PDRG1 0.00040356
36 GRIK2 0.00049584
37 SEC24C 0.00050579
38 RBP4 0.00057083
39 TM9SF4 0.00061815
40 XKR7 0.0006608
41 ZSWIM8 0.00069652
42 NUPR1 0.00070233
43 DOCK5 0.00083166
44 LITAF 0.0008416
45 RABEP2 0.0008693
46 MTHFSD 0.00089449
47 KIF3B 0.00091923
48 RAB11FIP2 0.0011806
49 TNXB 0.0011808
50 FGD6 0.0012023
51 HLA-DRA 0.0013631
52 MMP2 0.0015226
53 SUN5 0.0015462
54 MOK 0.001549
55 DKK2 0.0015977
56 SP100 0.0016238
57 LMF2 0.0016909
58 SUDS3 0.0016959
59 DEFA1 0.001704
60 TNRC6A 0.0017641
61 DNMT3A 4.16e-05
62 CDK17 0.001991
63 CDC123 0.0020377
64 ACVR1B 0.0020925
65 LTBR 0.0021769
66 KCNG3 0.0022604
67 DCAF11 0.0022862
68 NDST2 0.0023552
69 SFTPD 5.43e-05
70 FUT8 1.73e-05
71 ITFG2 0.0026618
72 KAT6B 0.0026903
73 CAMK2G 0.0027173
74 NRIP2 0.0027501
75 LMBRD1 0.0027511
76 EXOC2 0.0028504
77 OOEP 0.0028529
78 ONECUT2 0.0028613
79 CD207 0.0029243
80 COX7A2L 0.0029982
81 DYDC1 0.0030229
82 NDUFC1 0.0031005
83 KLKB1 0.0032182
84 SRD5A3 0.003425
85 ASXL1 4.16e-05
86 IRX6 0.0035003
87 ZKSCAN4 0.0035341
88 TAOK3 0.0035679
89 ST3GAL5 0.0036206
90 GTF3C1 0.0038649
91 SPOCK2 0.003992
92 PNLIPRP3 0.0040555
93 LAT 0.00036077
94 SYCE1 0.0042004
95 NRL 0.0042428
96 NAA15 3.31e-07
97 ATF6B 0.0045825
98 ETV6 0.0046134
99 ATP6V0A2 0.0046532
100 ACTR2 0.0046696
101 DGKA 0.0046921
102 ANTXR1 0.004739
103 EGFL8 0.0047907
104 GPR135 0.0048308
105 CRIM1 0.0048599
106 EIF3E 3.31e-07
107 CNNM1 0.0054285
108 MMP24 0.0054441
109 HSP90AA1 7.08e-05
110 CRADD 0.0054822
111 HHIP 2.77e-11
112 TRIM40 0.0056339
113 NRBP2 0.0058681
114 EVL 0.0058925
115 STK19 0.0011808
116 MSH5 0.0062135
117 FOXL1 0.0062405
118 CELSR1 0.00625
119 NOL4L 0.0063807
120 PDHA2 0.006387
121 MMP15 0.0054441
122 SNRPF 0.0065998
123 SLCO5A1 0.0066892
124 KCTD19 0.0069409
125 TRIM31 0.0069938
126 C16orf72 0.0071941
127 CTDSP2 0.0073728
128 MMS19 3.31e-07
129 RNF39 0.007758
130 RAB33B 0.0078051
131 TREML4 0.0080857
132 DUPD1 0.0082353
133 SEC31A 0.00050579
134 CYP7A1 0.0083437
135 MICU3 0.0083852
136 CINP 0.0084819
137 GTF2H3 0.0076408
138 MCUR1 0.0083852
139 BZW1 0.0086614
140 FBXO9 0.0087161
141 RBBP8NL 0.00061815
142 EIF2B1 0.0087992
143 SLC8A1 0.0088868
144 MROH1 0.0089274
145 CSNK2B 0.008966
146 TMEM165 0.0046532
147 ACTN1 0.0091452
148 KHDC3L 0.009153
149 ZSCAN26 0.009401
150 NDUFV2 0.0031005
151 EDN3 0.0095225
152 BCR 0.00036077
153 HFE 0.0095546
154 SH3PXD2A 0.0095851
155 CDK4 0.0019822
156 GSTA4 0.0097848
157 SCRIB 0.0098571
158 CD19 0.0095524
159 RAB3IP 0.0028504
160 TRIM10 0.01024
161 METTL1 0.010241
162 AFF1 0.0046134
163 GOLT1B 0.01047
164 OGFR 0.010504
165 UBOX5 0.010514
166 EMC9 0.010842
167 C4orf36 0.010925
168 SLC25A21 0.010958
169 TERF2IP 0.010961
170 RTEL1 0.0076408
171 DLC1 0.011087
172 ZDHHC8 0.011248
173 ICK 0.011282
174 TSHZ2 0.011369
175 CXCL3 0.01147
176 COLEC12 0.011676
177 MYLIP 0.011787
178 MAPRE1 0.0002324
179 EXOC6B 0.0028504
180 CFB 0.012202
181 LZTR1 0.012275
182 ADRM1 0.012528
183 TFAP2B 0.012791
184 PLEC 0.012791
185 ARMC2 0.01295
186 SART3 0.013
187 NFATC2IP 0.00022842
188 TNFRSF21 0.013054
189 CYP39A1 0.013252
190 MED15 0.013465
191 CDH11 0.013562
192 CST4 0.01368
193 NEUROD1 0.0137
194 MT1A 0.013805
195 BMP4 0.0020925
196 EIF3D 3.31e-07
197 HOXC9 0.00011999
198 CLEC7A 0.014183
199 PRR35 0.014214
200 DYNC1H1 0.0054795
201 PLEKHG4 0.014329
202 MFHAS1 0.014451
203 DPEP2 0.014788
204 NSMAF 0.0054822
205 FNIP2 0.015175
206 AVIL 0.015388
207 GGT7 0.015485
208 ARNTL2 0.015532
209 SPINT3 0.015575
210 PREB 0.00050579
211 TUBB 0.011941
212 NDUFAF6 0.015854
213 MPP4 0.015932
214 FRMD4A 0.015993
215 LEMD2 0.016089
216 CLCN7 0.016089
217 STMN3 0.016121
218 AKR1C3 0.003425
219 HMGA2 0.016343
220 RHBDL1 0.01636
221 GPX6 0.0097848
222 IP6K3 0.016542
223 PRMT7 0.016559
224 RECQL 0.01663
225 TEAD3 0.016653
226 TCF15 0.016653
227 GLI1 0.0056257
228 MTSS1 0.016804
229 BCL2 0.016981
230 FAM110B 0.017008
