#N E pmin p1min pmax wmin wmax wave
8724 115063 8.46e-13 8.46e-13 0.99892 0 2147483653.96603 74654.9039678011
#nodeindex nodename nodeweight
0 CHRNA5 8.46e-13
1 CHRNB4 8.46e-13
2 CHRNA3 8.46e-13
3 IREB2 1.51e-11
4 HYKK 1.19e-09
5 ADAM19 5.17e-09
6 FBXO38 1.51e-07
7 THSD4 3.28e-07
8 EEFSEC 6.28e-07
9 PSMA4 2.26e-06
10 RUVBL1 2.39e-06
11 HTR4 2.78e-06
12 TGFB2 1.04e-05
13 CAMK2A 1.14e-05
14 SPINK9 3.27e-05
15 RAB4B 3.77e-05
16 ASTN2 3.77e-05
17 SPINK7 3.87e-05
18 GZMA 5.61e-05
19 MBNL1 8.89e-05
20 SCN3B 0.00012572
21 ATG16L2 0.00013684
22 RSAD1 0.00013688
23 NIPAL4 0.00015135
24 ZKSCAN1 0.00015179
25 TRIM32 0.00018941
26 TLK2 0.00018972
27 STAG3 0.00023969
28 RARB 0.00024732
29 CASTOR3 0.00031069
30 MAPT 0.00033197
31 ALKBH5 0.00034534
32 IRAK2 0.00038524
33 KANSL1 0.00039224
34 MECOM 0.00041
35 CACNB1 0.00048575
36 TSPAN3 0.00049243
37 FNDC3B 0.00051799
38 SOX30 1.51e-07
39 CBLC 0.00058844
40 ZNF844 0.00067622
41 GLIS3 0.00069723
42 RADIL 0.00075053
43 GAL 0.00078532
44 MRC2 0.00078866
45 FBXO46 0.00079022
46 WNT3 0.000821
47 DENND2D 0.00084438
48 PSTPIP1 2.39e-06
49 HEXD 0.0008697
50 ZNF3 0.00092276
51 PPARGC1B 0.00093368
52 LAMB1 0.00097522
53 FLII 0.00097907
54 CREBRF 0.0010338
55 CEPT1 0.0011533
56 GPX8 0.0012319
57 DMWD 0.0012552
58 CDC20B 0.0012905
59 DDX6 0.00033197
60 CCL14 0.0014012
61 LLGL1 0.0014082
62 INAVA 0.0014283
63 GJA5 0.0014513
64 CYBC1 0.0014904
65 IPO9 0.0015117
66 AZGP1 0.0015713
67 MYO15A 0.0016612
68 IGFBP4 0.0016717
69 SEPTIN9 0.0016871
70 SLC9A9 0.0017099
71 CARD19 0.001718
72 CRHR1 2.78e-06
73 EGLN2 0.0017509
74 GAB2 0.0017907
75 IRX2 0.0018339
76 MACF1 0.0018674
77 NOTUM 0.0019433
78 SLC2A4 0.0020125
79 CACNG5 0.0020345
80 GJA9 0.002104
81 ITGA1 0.00097522
82 VGLL4 0.0021363
83 SLAIN1 0.0013045
84 UFSP1 0.0022675
85 SIX5 0.0022686
86 NUCB1 0.0022798
87 DBH 0.0023836
88 MCM7 0.0024006
89 GABRB2 0.0025337
90 GATAD1 0.0026983
91 NSF 3.77e-05
92 FGFR4 0.0027275
93 DNAJC11 0.0029337
94 KIAA0754 0.0029623
95 PVRIG 0.002989
96 PEX1 0.0029926
97 C1GALT1 0.0030367
98 COQ8B 0.0030726
99 GPC2 0.0031606
100 SRRT 0.0031777
101 ACSF2 0.0032162
102 SNRPA 0.0034711
103 TP73 0.00018941
104 TRIM11 0.0034941
105 LMOD1 0.002125
106 PCNP 0.0035397
107 ADAMTS7 0.0036833
108 MED9 0.003703
109 IDH2 0.0020125
110 RNF187 0.0039188
111 MYADML2 0.0012319
112 ZNF454 0.0040494
113 USP35 0.0041071
114 MUC3A 0.0030367
115 KISS1 0.004287
116 RSPH6A 0.0043177
117 FCER1G 0.0014513
118 CAMSAP1 0.0043727
119 MFAP2 0.0044144
120 GPR179 0.0045265
121 CCDC27 0.004543
122 DNAJC16 0.0046783
123 ZDHHC18 0.004728
124 PCDHB14 0.00084448
125 CCDC180 0.0048064
126 HMGCS2 0.0048264
127 PRKACB 0.0048614
128 CISD3 0.0020345
129 NARF 0.0050373
130 ADAMTSL3 0.0051475
131 RGS14 0.0051513
132 ZNF746 0.0052176
133 OR4C3 0.0052186
134 CHSY1 0.005306
135 SIAE 0.0053694
136 RRAGA 0.0053771
137 PROX1 0.0054387
138 DOHH 0.0054781
139 WDR47 0.0054903
140 PCF11 0.0034711
141 COL1A1 0.002125
142 RHBDL2 0.0055492
143 ZNF607 0.0056019
144 PIN1 0.00033197
145 PRSS23 0.0056948
146 BTBD1 0.0057075
147 SLC12A7 0.0057205
148 PABPC4 0.0057207
149 OR52E4 0.0057345
150 NFIX 0.0057362
151 FIGNL1 0.0059124
152 UTS2 0.004287
153 CD7 0.0062962
154 NKX2-5 0.0063176
155 ZNF274 0.0063517
156 MMD2 0.0064033
157 FZR1 2.26e-06
158 ABI3BP 8.89e-05
159 ZNF35 0.006504
160 CTBS 0.0065384
161 FCHSD2 0.0065571
162 TRIP6 0.00069723
163 CNPY4 0.0066251
164 DCAF8 0.0029926
165 SEC61A1 2.26e-06
166 KNG1 0.00078532
167 ACHE 0.00097522
168 TOMM40L 0.0070605
169 ZFAND5 0.0072372
170 LILRA4 0.0043406
171 NT5C3B 0.007503
172 RASGRP1 0.0076364
173 RCOR3 0.0077488
174 ARHGEF17 0.0077562
175 BCL3 0.0077602
176 KIF21B 0.0078974
177 ARHGAP1 0.0077562
178 ADGRL4 0.0080721
179 GTF2I 0.0081262
180 OR5K2 0.008248
181 BNIP1 0.00012572
182 OR13G1 0.0082947
183 SLC38A9 0.0053771
184 SHMT1 0.0013045
185 ISOC1 0.0084023
186 APOA2 0.0014904
187 C19orf54 0.00051799
188 ATP13A2 0.0055134
189 FYTTD1 0.0087528
190 PMS2 0.003472
191 PLEKHM1 0.0088852
192 MFSD12 0.0089123
193 HARBI1 0.0089131
194 AMBRA1 2.26e-06
195 TBX21 0.0089319
196 OR4A5 0.0090794
197 DCAF15 0.0012552
198 SERP2 0.00012572
199 LCP1 0.0092404
200 PTPRJ 0.0027026
201 EDNRB 0.004287
202 WDR82 0.0096463
203 SMCR8 0.0097776
204 EPB41L4A 0.0098255
205 RCL1 0.0098471
206 FBP2 0.009885
207 CEP170 0.010138
208 MED19 0.00075053
209 ATG13 0.0097776
210 OLFM2 0.010365
