#N E pmin p1min pmax wmin wmax wave
7636 63856 8.46e-13 8.46e-13 0.99601 0 2147483653.96603 201781.343922753
#nodeindex nodename nodeweight
0 CHRNA5 8.46e-13
1 CHRNB4 8.46e-13
2 CHRNA3 8.46e-13
3 IREB2 1.78e-12
4 HYKK 8.46e-13
5 ADAM19 5.17e-09
6 FBXO38 1.51e-07
7 THSD4 3.28e-07
8 EEFSEC 6.28e-07
9 PSMA4 8.46e-13
10 RUVBL1 2.39e-06
11 HTR4 2.78e-06
12 TGFB2 1.04e-05
13 CAMK2A 1.14e-05
14 SPINK9 3.27e-05
15 RAB4B 3.77e-05
16 SPINK7 3.87e-05
17 GZMA 5.61e-05
18 MBNL1 8.89e-05
19 SCN3B 0.00012572
20 ATG16L2 0.00013684
21 RSAD1 0.00013688
22 NIPAL4 0.00015135
23 ZKSCAN1 0.00015179
24 TRIM32 0.00018941
25 TLK2 0.00018972
26 GPR157 0.00020765
27 STAG3 0.00023969
28 RARB 0.00024732
29 MAPT 1.14e-05
30 ALKBH5 0.00034534
31 IRAK2 0.00038524
32 KANSL1 2.39e-06
33 MECOM 0.00041
34 CACNB1 1.14e-05
35 TSPAN3 0.00049243
36 SOX30 0.00056252
37 CBLC 0.00058844
38 GLIS3 0.00069723
39 RADIL 0.00075053
40 GAL 0.00078532
41 MRC2 0.00078866
42 FBXO46 0.00079022
43 WNT3 0.000821
44 DENND2D 0.00084438
45 PSTPIP1 0.00084448
46 ZNF3 0.00092276
47 PPARGC1B 0.00093368
48 LAMB1 0.00097522
49 FLII 0.00097907
50 PGLYRP1 0.0010081
51 CREBRF 0.0010338
52 CEPT1 0.0011533
53 GPX8 0.0012319
54 DMWD 0.0012552
55 CDC20B 0.0012905
56 DDX6 0.00033197
57 CCL14 0.0014012
58 LLGL1 0.00097907
59 GJA5 0.0014513
60 IPO9 0.0015117
61 AZGP1 0.0015713
62 REG4 0.0015858
63 MYO15A 0.0016612
64 IGFBP4 0.0016717
65 SLC9A9 0.0017099
66 CRHR1 0.0017296
67 EGLN2 0.0017509
68 GAB2 0.0017907
69 IRX2 0.0018339
70 MACF1 0.0018674
71 POFUT2 3.28e-07
72 NOTUM 0.000821
73 SLC2A4 0.0020125
74 CACNG5 0.0020345
75 ITGA1 0.00097522
76 VGLL4 0.0021363
77 UFSP1 0.0022675
78 SIX5 0.0022686
79 NUCB1 0.0022798
80 DBH 0.00078532
81 MCM7 0.00018972
82 GABRB2 0.0025337
83 GATAD1 0.0026983
84 NSF 0.0027026
85 FGFR4 0.0027275
86 DNAJC11 0.0029337
87 PVRIG 0.00023969
88 PEX1 0.0029926
89 C1GALT1 0.0030367
90 GPC2 0.0019433
91 SRRT 0.0031777
92 ACSF2 0.0032162
93 LGALS7B 0.003312
94 SNRPA 0.0034711
95 TP73 2.26e-06
96 LMOD1 0.0034988
97 ADAMTS7 3.28e-07
98 MED9 0.003703
99 IDH2 0.0039132
100 RNF187 0.0039188
101 MUC3A 0.0030367
102 KISS1 0.004287
103 RSPH6A 0.0043177
104 FCER1G 0.0017907
105 CAMSAP1 0.0043727
106 MFAP2 0.0044144
107 GPR179 0.0045265
108 CCDC27 0.004543
109 DNAJC16 0.0046783
110 CCDC180 0.0048064
111 HMGCS2 0.0048264
112 PRKACB 0.00033197
113 BMP8A 0.0048953
114 NARF 0.0050373
115 ADAMTSL3 3.28e-07
116 RGS14 0.0051513
117 ZNF746 0.0052176
118 CHSY1 0.005306
119 SIAE 0.0053694
120 RRAGA 0.0053771
121 PROX1 0.0054387
122 DOHH 0.0054781
123 WDR47 0.0054903
124 PCF11 0.0055063
125 COL1A1 0.002125
126 RHBDL2 0.0055492
127 PIN1 0.00033197
128 BTBD1 0.0057075
129 PABPC4 0.0013045
130 NFIX 0.0057362
131 FIGNL1 0.0059124
132 UTS2 0.0061363
133 CD7 0.0062962
134 NKX2-5 0.0014513
135 ZNF274 0.0063517
136 MMD2 0.0064033
137 FZR1 0.006476
138 NARS2 0.0064829
139 ABI3BP 0.0064831
140 CTBS 0.0065384
141 FCHSD2 0.0065571
142 TRIP6 0.0065978
143 CNPY4 0.0066251
144 SEC61A1 0.0066541
145 KNG1 0.0068536
146 TSPAN16 0.0068975
147 ACHE 0.0069396
148 TOMM40L 0.0070605
149 LILRA4 0.0043406
150 NT5C3B 0.007503
151 RASGRP1 0.0076364
152 RCOR3 0.0077488
153 ARHGEF17 0.0077562
154 BCL3 0.0077602
155 KIF21B 0.0078974
156 ARHGAP1 0.0079007
157 GTF2I 0.0081262
158 BNIP1 0.0027026
159 SLC38A9 0.0053771
160 SHMT1 0.0083296
161 ISOC1 0.0084023
162 TREH 0.0086103
163 APOA2 0.0086519
164 C19orf54 0.0086943
165 ATP13A2 0.0087101
166 FYTTD1 0.0087528
167 PMS2 0.0087744
168 PLEKHM1 0.0088852
169 MFSD12 0.006476
170 HARBI1 0.0089131
171 AMBRA1 0.0089208
172 TBX21 5.61e-05
173 DCAF15 0.0092404
174 SERP2 0.0093298
175 LCP1 0.0093952
176 PTPRJ 0.0094005
177 EDNRB 0.0068536
178 WDR82 0.0055063
179 SMCR8 0.0097776
180 RCL1 0.0098471
181 FBP2 0.009885
182 CEP170 0.010138
183 MED19 0.003703
184 ATG13 0.0053771
185 OLFM2 0.0020345
186 IL17RD 0.01043
187 CTDNEP1 0.0096463
188 GHRL 0.004287
189 AKAP9 1.14e-05
190 CALM3 1.14e-05
191 CASP9 0.010985
192 SRGAP2 0.0081262
193 POMGNT2 0.011368
194 NUMBL 0.011373
195 CYP51A1 0.0048264
196 DMPK 8.89e-05
197 CASQ1 0.011484
198 FKBP10 0.0055134
199 RRAGC 0.0053771
200 MCIDAS 0.011608
201 AGMAT 0.011655
202 PTCH1 0.011742
203 SLC25A10 0.011745
204 ACLY 0.0039132
205 RTN3 0.012046
206 PPM1M 0.012114
207 TAF12 0.012174
208 TMEM87A 0.012184
209 CSNK1D 0.00033197
210 PSMC2 2.26e-06
211 LRCH3 0.012494
