#N E pmin p1min pmax wmin wmax wave
14607 171877 8.4623e-13 8.4623e-13 0.99601 0 2147483653.96645 74966.5803341096
#nodeindex nodename nodeweight
0 CHRNA5 8.4623e-13
1 CHRNB4 8.4623e-13
2 CHRNA3 8.4623e-13
3 IREB2 1.776e-12
4 FAM13A 1.776e-12
5 RIN3 9.2956e-11
6 HYKK 8.4623e-13
7 ADAM19 5.1678e-09
8 FBXO38 1.5138e-07
9 THSD4 3.2797e-07
10 ABCE1 3.3088e-07
11 EEFSEC 6.2813e-07
12 ANAPC10 1.223e-06
13 GSTCD 2.7743e-11
14 SULT1A2 2.0125e-06
15 OTUD4 2.0176e-06
16 PSMA4 8.4623e-13
17 RUVBL1 3.3088e-07
18 INTS12 1.717e-06
19 HTR4 2.7829e-06
20 IL27 3.0456e-06
21 DNAL1 7.3017e-06
22 SULT1A1 2.0125e-06
23 TGFB2 1.0361e-05
24 CLN3 1.0871e-05
25 CAMK2A 1.1382e-05
26 FUT9 1.7288e-05
27 SPINK9 3.27e-05
28 RAB4B 3.7686e-05
29 SPINK7 3.8651e-05
30 WDR20 3.8892e-05
31 TET2 4.155e-05
32 APOBR 4.2016e-05
33 AGER 5.4343e-05
34 GZMA 5.6107e-05
35 PNMA1 6.8104e-05
36 POFUT1 7.0529e-05
37 EML4 7.0775e-05
38 PVALB 8.3169e-05
39 ELMSAN1 8.5092e-05
40 MTCL1 6.2813e-07
41 MBNL1 8.8857e-05
42 RNF41 8.8908e-05
43 ATP2A1 8.3169e-05
44 TMEM170A 9.4589e-05
45 PBX2 0.00011999
46 SCN3B 0.00012572
47 HIST1H4L 2.3947e-06
48 ATG16L2 0.00013684
49 RSAD1 0.00013688
50 NIPAL4 0.00015135
51 ZKSCAN1 0.00015179
52 ANKRD9 0.00015948
53 TRIM32 0.00018941
54 TLK2 0.00018972
55 BTN3A2 0.00020251
56 GPR157 0.00020765
57 SH2B1 0.00021125
58 ATXN2L 0.00022842
59 DSP 0.0002324
60 STAG3 0.00023969
61 RARB 0.00024732
62 CFDP1 9.4589e-05
63 TUFM 0.00027064
64 FUT11 0.00027084
65 SLC10A7 0.00027962
66 GATS 0.00031069
67 MAPT 1.1382e-05
68 ALKBH5 0.00034534
69 HCK 0.00036077
70 IRAK2 0.00038524
71 KANSL1 2.3947e-06
72 PDRG1 2.3947e-06
73 MECOM 0.00041
74 CACNB1 1.1382e-05
75 TSPAN3 0.00049243
76 GRIK2 0.00049584
77 SEC24C 0.00050579
78 SOX30 0.00056252
79 RBP4 0.00057083
80 CBLC 0.00058844
81 TM9SF4 0.00061815
82 XKR7 0.0006608
83 ZSWIM8 0.00069652
84 GLIS3 0.00069723
85 NUPR1 0.00070233
86 RADIL 0.00075053
87 GAL 0.00078532
88 MRC2 0.00078866
89 FBXO46 0.00079022
90 WNT3 0.000821
91 DOCK5 0.00083166
92 SPPL2C 0.00083743
93 LITAF 0.0008416
94 DENND2D 0.00084438
95 PSTPIP1 0.00084448
96 RABEP2 0.0008693
97 HEXDC 0.0008697
98 MTHFSD 0.00089449
99 KIF3B 0.00091923
100 ZNF3 0.00092276
101 PPARGC1B 0.00093368
102 LAMB1 0.00097522
103 FLII 0.00097907
104 PGLYRP1 0.0010081
105 CREBRF 0.0010338
106 CEPT1 0.0011533
107 RAB11FIP2 0.0011806
108 TNXB 0.0011808
109 FGD6 0.0012023
110 GPX8 0.0012319
111 DMWD 0.0012552
112 CDC20B 0.0012905
113 DDX6 3.3088e-07
114 HLA-DRA 0.0013631
115 CCL14 0.0014012
116 LLGL1 0.00097907
117 C1orf106 0.0014283
118 GJA5 0.0014513
119 C17orf62 0.0014904
120 IPO9 0.0015117
121 MMP2 0.0015226
122 SUN5 0.0015462
123 AZGP1 0.0015713
124 RERG 0.0015841
125 REG4 0.0015858
126 DKK2 0.0015977
127 SP100 0.0016238
128 MYO15A 0.0016612
129 IGFBP4 0.0016717
130 LMF2 0.0016909
131 SUDS3 0.0016959
132 DEFA1 0.001704
133 SLC9A9 0.0017099
134 CRHR1 0.0017296
135 EGLN2 0.0017509
136 TNRC6A 0.0013045
137 GAB2 0.00036077
138 IRX2 0.0018339
139 MACF1 0.0018674
140 POFUT2 3.2797e-07
141 NOTUM 0.0019433
142 DNMT3A 0.0019822
143 CDK17 0.001991
144 SLC2A4 0.00057083
145 CACNG5 0.0020345
146 CDC123 0.0020377
147 BTN2A1 0.0020865
148 ACVR1B 0.0020925
149 ITGA1 0.002125
150 VGLL4 0.0021363
151 LTBR 0.0021769
152 SLAIN1 0.0021962
153 KCNG3 0.0022604
154 UFSP1 0.0022675
155 SIX5 0.0022686
156 NUCB1 0.0022798
157 DCAF11 0.0022862
158 NDST2 0.0023552
159 DBH 0.00078532
160 MCM7 0.00018972
161 SFTPD 5.4343e-05
162 GABRB2 0.0025337
