#N E pmin p1min pmax wmin wmax wave
6645 72331 2.97e-18 2.97e-18 0.99891 0 2147483647.18116 59380.1480054526
#nodeindex nodename nodeweight
0 PHACTR1 2.97e-18
1 WDR12 2.47e-15
2 ICA1L 1.08e-14
3 CARF 3.1e-14
4 NBEAL1 2.3e-11
5 JCAD 7.23e-11
6 MAT2A 9.4e-10
7 VAMP8 1.41e-09
8 LPL 1.21e-08
9 GGCX 1.39e-08
10 TNS1 2.45e-08
11 GUCY1A1 7.33e-08
12 CFDP1 1.15e-07
13 ATXN2 1.37e-07
14 TMEM170A 2.17e-07
15 SLC22A3 2.62e-07
16 SH2B3 5.42e-07
17 VAMP5 1.12e-06
18 CYP17A1 1.14e-06
19 BRAP 1.31e-06
20 TCF21 1.71e-06
21 CHST6 1.88e-06
22 KCNK5 3.9e-06
23 HNF1A 5.05e-06
24 ACAD10 5.2e-06
25 PLCG1 5.4e-06
26 BORCS7 5.79e-06
27 SLC22A1 6.32e-06
28 ACYP1 6.73e-06
29 NEK9 6.87e-06
30 FHL5 7.25e-06
31 TMED10 1.12e-06
32 RAPH1 7.74e-06
33 HHIPL1 7.86e-06
34 PLG 8.08e-06
35 CYP20A1 9.66e-06
36 B4GALT5 1.1e-05
37 ALDH2 1.14e-05
38 ABI2 7.25e-06
39 ZC2HC1C 1.25e-05
40 GGT7 1.57e-05
41 MLH3 1.76e-05
42 NT5C2 1.76e-05
43 ZNF827 1.84e-05
44 MYH11 2.22e-05
45 CENPW 2.52e-05
46 EIF2B2 2.55e-05
47 ZHX3 2.72e-05
48 ANKRD52 3.03e-05
49 REST 3.08e-05
50 PAN2 3.12e-05
51 NOA1 3.82e-05
52 CS 4.83e-05
53 NAA25 4.98e-05
54 ORC4 5.33e-05
55 HECTD4 5.4e-05
56 POC1B 5.54e-05
57 CHN1 6.56e-05
58 SLC39A5 6.57e-05
59 TBC1D12 6.67e-05
60 NEDD9 6.76e-05
61 TMEM150A 8.05e-05
62 STAT2 8.3e-05
63 RPH3A 9.06e-05
64 MAT1A 9.4e-10
65 MTTP 9.15e-05
66 APOB 1.21e-08
67 TOP1 1.14e-05
68 SLC45A4 0.00010823
69 GALNT4 5.54e-05
70 SPHKAP 0.00011704
71 TRMT10A 0.0001175
72 GIGYF2 0.00011801
73 DYDC2 0.00012
74 LY6H 0.00012212
75 MAPKAPK5 2.22e-05
76 IL23A 0.0001275
77 WDCP 0.00013722
78 SF3A1 0.00015138
79 RPL13 5.4e-06
80 BMP1 0.00015986
81 SYN3 0.00016502
82 ABCG8 0.00016508
83 UFL1 0.00016926
84 TRAFD1 3.12e-05
85 POU5F1 0.00010398
86 MYOZ2 0.00020517
87 ACVR2A 0.00020975
88 EDNRA 0.0002188
89 FTO 0.00022109
90 PREX1 0.00022737
91 ZEB2 0.00023129
92 IGF2R 8.08e-06
93 ANKRD50 0.00024545
94 CNPY2 0.00025148
95 TUBA3E 0.00026342
96 RPL6 3.12e-05
97 MARCHF7 0.00030503
98 CASTOR1 0.00031306
99 TBC1D10A 0.00031569
100 C1S 0.00033066
101 HLA-B 4.83e-05
102 NIPSNAP1 0.00034902
103 ITGB1BP1 0.00035593
104 PHIP 0.00036356
105 USP10 0.00036732
106 ACTR2 0.0003413
107 OIT3 0.00040191
108 ERP29 0.0003413
109 CCDC157 0.0004592
110 AAR2 9.4e-10
111 PTPN11 5.4e-06
112 GLIS2 0.00049771
