#N E pmin p1min pmax wmin wmax wave
6149 43024 2.97e-18 2.97e-18 0.99796 0 2147483648.82093 49914.43006462
#nodeindex nodename nodeweight
0 PHACTR1 2.97e-18
1 WDR12 2.47e-15
2 ICA1L 1.08e-14
3 CARF 3.1e-14
4 LPA 1.94e-11
5 LIPA 2.51e-11
6 MAT2A 9.4e-10
7 VAMP8 1.41e-09
8 LPL 1.94e-11
9 GGCX 1.39e-08
10 TNS1 2.45e-08
11 CFDP1 1.15e-07
12 ATXN2 1.37e-07
13 TMEM170A 2.17e-07
14 SLC22A3 2.62e-07
15 SH2B3 5.42e-07
16 VAMP5 1.12e-06
17 CYP17A1 1.14e-06
18 BRAP 1.37e-07
19 TCF21 1.71e-06
20 AS3MT 1.73e-06
21 CHST6 1.88e-06
22 TSPAN14 1.93e-06
23 KCNK5 3.9e-06
24 HNF1A 5.05e-06
25 ACAD10 5.2e-06
26 PLCG1 5.4e-06
27 SLC22A1 6.32e-06
28 ACYP1 6.73e-06
29 NEK9 6.87e-06
30 FHL5 7.25e-06
31 TMED10 7.73e-06
32 RAPH1 7.74e-06
33 PLG 8.08e-06
34 CYP20A1 9.66e-06
35 B4GALT5 1.1e-05
36 ALDH2 1.14e-05
37 ABI2 7.74e-06
38 ZC2HC1C 1.25e-05
39 GGT7 1.57e-05
40 MLH3 1.76e-05
41 NT5C2 1.76e-05
42 ZNF827 1.84e-05
43 MYH11 2.22e-05
44 CENPW 2.52e-05
45 EIF2B2 2.55e-05
46 ZHX3 2.72e-05
47 ANKRD52 3.03e-05
48 REST 3.08e-05
49 PAN2 3.12e-05
50 NOA1 3.82e-05
51 CNNM2 1.73e-06
52 CS 4.83e-05
53 NAA25 4.98e-05
54 TMEM116 5.17e-05
55 ORC4 5.33e-05
56 HECTD4 5.4e-05
57 POC1B 5.54e-05
58 CHN1 6.56e-05
59 SLC39A5 6.57e-05
60 TBC1D12 6.67e-05
61 NEDD9 6.76e-05
62 COQ10A 7.15e-05
63 TMEM150A 8.05e-05
64 STAT2 8.3e-05
65 RPH3A 9.06e-05
66 MAT1A 9.4e-10
67 MTTP 9.15e-05
68 APOB 1.94e-11
69 TOP1 0.00010398
70 SLC45A4 0.00010823
71 GALNT4 0.00011262
72 SPHKAP 0.00011704
73 TRMT10A 0.0001175
74 GIGYF2 0.00011801
75 DYDC2 0.00012
76 LY6H 0.00012212
77 MAPKAPK5 0.0001245
78 IL23A 0.0001275
79 SF3A1 0.00015138
80 RPL13 0.00015237
81 BMP1 0.00015986
82 SYN3 0.00016502
83 ABCG8 0.0001024
84 UFL1 0.00016926
85 POU5F1 0.00020446
86 MYOZ2 0.00020517
87 ACVR2A 0.00020975
88 EDNRA 5.4e-06
89 FTO 0.00022109
90 PREX1 0.00022737
91 ZEB2 0.00023129
92 IGF2R 2.62e-07
93 ANKRD50 0.00024545
94 CNPY2 0.00025148
95 TUBA3E 0.00026342
96 RPL6 0.00015237
97 TBC1D10A 0.00031569
98 C1S 0.00033066
99 RNF215 0.00033153
100 HLA-B 1.41e-09
101 NIPSNAP1 0.00034902
102 ITGB1BP1 0.00035593
103 PHIP 0.00036356
104 USP10 0.00036732
105 ACTR2 1.25e-05
106 ERP29 0.00041308
107 KCNJ13 3.9e-06
108 AAR2 0.00048428
109 PTPN11 8.3e-05
110 GLIS2 0.00049771
111 AP3M1 0.0005315
112 RRBP1 0.00054268
113 CD302 0.00056773
