#N E pmin p1min pmax wmin wmax wave
8842 118251 6.87e-14 6.87e-14 0.99686 0 4294967294 708255.946703233
#nodeindex nodename nodeweight
0 CDKN2B 6.87e-14
1 MIA3 7.44e-12
2 ADAMTS7 7.51e-12
3 CELSR2 1.19e-11
4 APOE 4.77e-11
5 PLPP3 5.11e-11
6 FAM177B 1.84e-10
7 SMARCA4 2.72e-10
8 AIDA 4.43e-10
9 IL6R 5.45e-10
10 C19orf38 7.27e-10
11 CARM1 7.77e-10
12 COL4A1 8.05e-10
13 SMG6 8.79e-10
14 FES 1.71e-09
15 LDLR 4.77e-11
16 TGFB1 6.4e-09
17 ARNTL 8.77e-09
18 FGD5 1.99e-08
19 MSL2 2.56e-08
20 COL4A2 8.05e-10
21 CDKN2A 6.87e-14
22 BROX 1.88e-07
23 TAF1A 2.05e-07
24 MRAS 2.59e-07
25 AXL 4.23e-07
26 ILF3 4.36e-07
27 NAGLU 4.55e-07
28 PSRC1 5.89e-07
29 IGF2BP1 9.01e-07
30 BCAS3 6.4e-09
31 FURIN 8.05e-10
32 TOMM40 1.35e-06
33 B9D2 1.41e-06
34 YIPF2 1.63e-06
35 APOC1 1.67e-06
36 MST1 1.84e-06
37 MORF4L1 2.1e-06
38 SNF8 2.46e-06
39 SKI 3.39e-06
40 BCAP29 3.4e-06
41 ATP5MC1 3.81e-06
42 SWAP70 4.4e-06
43 MAP1S 4.72e-06
44 UBE2Z 6.31e-06
45 TTLL6 6.97e-06
46 TRIM58 7.77e-06
47 CYP4F2 7.91e-06
48 QPCTL 8.03e-06
49 SETDB2 8.6e-06
50 FLT1 3.96e-09
51 STAG1 1.41e-06
52 TMEM91 9.67e-06
53 IPO9 1.15e-05
54 ZPR1 1.16e-05
55 PCNX3 1.23e-05
56 PECAM1 1.23e-05
57 ATPAF2 1.3e-05
58 ZBTB7B 1.36e-05
59 PCCB 1.36e-05
60 COG5 1.38e-05
61 APEH 1.43e-05
62 RELA 7.77e-10
63 TOM1L2 1.59e-05
64 GIP 1.6e-05
65 TMED1 1.83e-05
66 INPP5B 1.89e-05
67 DAG1 1.96e-05
68 SREBF1 7.77e-10
69 TRIM65 6.31e-06
70 GID4 2.21e-05
71 AMT 2.4e-05
72 MYBPHL 2.45e-05
73 CAVIN1 8.77e-09
74 PPP2R3A 2.64e-05
75 SMAD3 6.87e-14
76 HBP1 2.21e-05
77 ING1 5.79e-08
