#N E pmin p1min pmax wmin wmax wave
7723 65205 6.87e-14 6.87e-14 0.9971 0 2147483652.3 263475.691824751
#nodeindex nodename nodeweight
0 CDKN2B 6.87e-14
1 MIA3 7.44e-12
2 ADAMTS7 7.51e-12
3 CELSR2 1.19e-11
4 APOE 4.77e-11
5 SMARCA4 2.72e-10
6 IL6R 5.45e-10
7 CARM1 2.72e-10
8 COL4A1 8.05e-10
9 SMG6 8.79e-10
10 FES 1.71e-09
11 LDLR 4.77e-11
12 TGFB1 6.4e-09
13 ARNTL 8.77e-09
14 MSL2 2.56e-08
15 COL4A2 8.05e-10
16 CDKN2A 6.87e-14
17 BROX 7.44e-12
18 TAF1A 2.05e-07
19 MRAS 5.79e-08
20 AXL 4.23e-07
21 ILF3 4.36e-07
22 NAGLU 4.55e-07
23 PSRC1 1.19e-11
24 IGF2BP1 9.01e-07
25 BCAS3 1.3e-06
26 FURIN 6.4e-09
27 TOMM40 4.77e-11
28 B9D2 1.41e-06
29 YIPF2 1.63e-06
30 APOC1 4.77e-11
31 MST1 1.84e-06
32 MORF4L1 2.56e-08
33 SNF8 2.46e-06
34 SKI 3.39e-06
35 BCAP29 3.4e-06
36 GPR22 3.4e-06
37 MAP1S 4.72e-06
38 UBE2Z 6.31e-06
39 TTLL6 6.97e-06
40 TRIM58 7.77e-06
41 CYP4F2 7.91e-06
42 QPCTL 8.03e-06
43 SETDB2 8.6e-06
44 FLT1 9.33e-06
45 STAG1 9.37e-06
46 IPO9 1.15e-05
47 ZPR1 1.16e-05
48 ARHGEF26 1.19e-05
49 PECAM1 9.33e-06
50 ATPAF2 1.3e-05
51 ZBTB7B 1.36e-05
52 PCCB 1.36e-05
53 COG5 3.4e-06
54 APEH 1.84e-06
55 RELA 2.72e-10
56 TOM1L2 1.59e-05
57 GIP 1.6e-05
58 TMED1 1.83e-05
59 INPP5B 1.89e-05
60 DAG1 1.96e-05
61 SREBF1 3.96e-09
62 TRIM65 2.03e-05
63 GID4 2.21e-05
64 AMT 2.4e-05
65 MYBPHL 1.19e-11
66 PPP2R3A 2.64e-05
67 SMAD3 6.87e-14
68 HBP1 3.02e-05
69 ING1 2.1e-06
70 DMWD 3.26e-05
71 NICN1 3.51e-05
72 MTAP 6.87e-14
73 DNM2 4.17e-05
74 SLC44A2 4.38e-05
75 KAT2A 2.72e-10
76 KRI1 4.99e-05
77 ATG4D 5.46e-05
