#N E pmin p1min pmax wmin wmax wave
14527 152820 2.9689e-18 2.9689e-18 0.99823 0 2147483648.22813 56210.4023760291
#nodeindex nodename nodeweight
0 PHACTR1 2.9689e-18
1 WDR12 2.4697e-15
2 ICA1L 1.081e-14
3 CARF 3.0984e-14
4 CDKN2B 6.8745e-14
5 MIA3 7.4397e-12
6 ADAMTS7 7.5119e-12
7 CELSR2 1.185e-11
8 LPA 1.9431e-11
9 NBEAL1 2.3028e-11
10 LIPA 2.5103e-11
11 APOE 1.9431e-11
12 KIAA1462 7.226e-11
13 SMARCA4 2.7233e-10
14 IL6R 5.4495e-10
15 CARM1 2.7233e-10
16 COL4A1 8.0523e-10
17 SMG6 8.792e-10
18 MAT2A 9.398e-10
19 VAMP8 1.4095e-09
20 FES 1.7079e-09
21 LDLR 1.9431e-11
22 TGFB1 6.3973e-09
23 ARNTL 8.7701e-09
24 LPL 1.9431e-11
25 GGCX 1.3934e-08
26 TNS1 2.4499e-08
27 MSL2 2.5603e-08
28 COL4A2 8.0523e-10
29 CDKN2A 6.8745e-14
30 GUCY1A3 7.3348e-08
31 CFDP1 1.1468e-07
32 ATXN2 1.3728e-07
33 BROX 7.4397e-12
34 TAF1A 2.0497e-07
35 MRAS 5.7892e-08
36 SLC22A3 2.6161e-07
37 AXL 4.2342e-07
38 ILF3 4.3642e-07
39 NAGLU 4.5502e-07
40 SH2B3 5.4249e-07
41 PSRC1 1.185e-11
42 IGF2BP1 9.0097e-07
43 VAMP5 1.1152e-06
44 CYP17A1 1.1445e-06
45 BCAS3 1.2986e-06
46 BRAP 1.3728e-07
47 FURIN 6.3973e-09
48 TOMM40 4.7727e-11
49 B9D2 1.407e-06
50 YIPF2 1.6343e-06
51 APOC1 1.9431e-11
52 TCF21 1.7059e-06
53 AS3MT 1.731e-06
54 MST1 1.8405e-06
55 CHST6 1.8798e-06
56 TSPAN14 1.9259e-06
57 MORF4L1 2.5603e-08
58 SNF8 2.4555e-06
59 SKI 3.3875e-06
60 BCAP29 3.403e-06
61 ATP5G1 1.3529e-06
62 KCNK5 3.9045e-06
63 GPR22 3.403e-06
64 MAP1S 4.7205e-06
65 HNF1A 5.0546e-06
66 ACAD10 5.2016e-06
67 PLCG1 4.2342e-07
68 UBE2Z 6.3077e-06
69 SLC22A1 6.3165e-06
70 ACYP1 6.7287e-06
71 NEK9 6.8703e-06
72 TTLL6 6.9703e-06
73 FHL5 7.2477e-06
74 TMED10 3.403e-06
75 RAPH1 7.7385e-06
76 CYP4F2 7.9106e-06
77 QPCTL 8.027e-06
78 PLG 6.3973e-09
79 SETDB2 8.6012e-06
80 FLT1 5.3966e-06
81 STAG1 9.3655e-06
82 CYP20A1 9.6617e-06
83 B4GALT5 1.1032e-05
84 ALDH2 1.1404e-05
85 IPO9 1.1533e-05
86 ZPR1 2.4697e-15
87 ARHGEF26 1.187e-05
88 PECAM1 1.2305e-05
89 ABI2 7.7385e-06
90 ZC2HC1C 1.252e-05
91 ATPAF2 1.2985e-05
92 ZBTB7B 1.3584e-05
93 PCCB 1.3641e-05
94 COG5 3.403e-06
95 APEH 1.4264e-05
96 RELA 2.7233e-10
97 GGT7 1.5694e-05
98 TOM1L2 1.5881e-05
99 GIP 1.5984e-05
100 MLH3 1.755e-05
101 NT5C2 1.7607e-05
102 TMED1 1.8317e-05
103 ZNF827 1.8352e-05
104 INPP5B 5.3966e-06
105 DAG1 1.9631e-05
106 SREBF1 3.9614e-09
107 TRIM65 2.034e-05
108 GID4 2.2101e-05
109 MYH11 2.2199e-05
110 AMT 2.402e-05
111 MYBPHL 1.185e-11
112 CENPW 2.5187e-05
113 EIF2B2 2.545e-05
114 PPP2R3A 2.6438e-05
115 ZHX3 2.7249e-05
116 SMAD3 6.8745e-14
117 HBP1 3.021e-05
118 ANKRD52 3.0277e-05
119 REST 3.0814e-05
120 ING1 3.0937e-05
121 PAN2 3.1217e-05
122 DMWD 3.2645e-05
123 DRG2 3.2915e-05
124 NICN1 3.5083e-05
125 C1orf50 3.5102e-05
126 NOA1 3.8176e-05
127 MTAP 6.8745e-14
128 DNM2 1.4095e-09
129 SLC44A2 4.38e-05
130 CNNM2 1.731e-06
131 KAT2A 2.7233e-10
132 CS 1.3529e-06
133 NAA25 1.4264e-05
134 KRI1 2.4697e-15
135 CCDC97 5.1512e-05
136 TMEM116 5.1675e-05
137 ORC4 5.3262e-05
138 HECTD4 5.3958e-05
139 ATG4D 5.4579e-05
140 POC1B 5.5406e-05
141 TCTA 5.6066e-05
142 CSNK1G3 5.9917e-05
143 TAGLN2 6.4028e-05
144 CHN1 6.5644e-05
145 SLC39A5 6.5724e-05
146 TBC1D12 6.6681e-05
147 APBB1 6.6863e-05
148 NEDD9 6.7572e-05
149 COQ10A 7.15e-05
150 GOSR2 1.4095e-09
151 UHRF1 7.5967e-05
152 TMEM150A 8.0539e-05
153 RHOA 6.3973e-09
154 STAT2 2.7233e-10
155 RAB5C 1.4095e-09
156 RPH3A 9.0567e-05
157 SIPA1 9.0588e-05
158 PDS5B 9.3655e-06
159 MAT1A 9.1273e-05
160 MTTP 9.1508e-05
161 GPX1 9.3237e-05
162 FBXO46 9.4021e-05
163 DHX58 9.6355e-05
164 BSN 9.7339e-05
165 RAI1 0.0001002
166 RORC 8.7701e-09
167 APOB 1.9431e-11
168 TOP1 5.7892e-08
169 HNRNPUL1 0.00010735
170 UNC13D 0.00010805
171 SLC45A4 0.00010823
172 GALNT4 0.00011262
173 SPHKAP 0.00011704
174 TRMT10A 0.0001175
175 GIGYF2 0.00011801
176 ZKSCAN1 0.00011826
177 DYDC2 0.00012
178 LY6H 0.00012212
179 MAPKAPK5 0.0001245
180 CLDN19 0.00012705
181 IL23A 0.0001275
182 SRR 0.00012844
183 KCNA2 0.00013104
184 MLX 0.00013232
185 AMH 1.1445e-06
186 RSPH6A 0.00013786
187 DAB2IP 0.00014264
188 PBXIP1 0.00014305
189 CEACAM19 0.00014553
190 EIF2B3 0.00014872
191 SF3A1 0.00015138
192 RPL13 0.00015237
193 BMP1 0.00015986
194 RRP1B 2.4697e-15
195 SYN3 0.00016502
196 ABCG8 0.0001024
197 UFL1 0.00016926
198 TRAFD1 0.00017142
199 H2AFV 2.0497e-07
200 CELA3B 0.00018899
201 TRAF4 0.00020111
202 POU5F1 2.7233e-10
203 MYOZ2 0.00020517
204 ACVR2A 2.9752e-05
205 EDNRA 5.3966e-06
206 FTO 0.00022109
207 CACFD1 0.00022205
208 PREX1 0.00022737
209 ZEB2 2.9752e-05
210 IGF2R 2.6161e-07
211 ANKRD50 0.00024545
212 PHB 0.00025054
213 CNPY2 0.00025148
214 DENND5A 0.00025882
215 TUBA3E 0.00026342
216 ZMYND12 0.00026649
217 PAPD7 0.00027448
218 RPL6 0.00027472
219 HSPB9 0.0002939
220 FCHO1 1.7079e-09
221 ST3GAL4 0.00031537
222 TBC1D10A 0.00031569
223 EXOSC5 2.4697e-15
224 LAMB2 1.9631e-05
225 ESYT3 0.00032411
226 LOX 0.00032671
227 C1S 0.00033066
228 RNF215 0.00033153
229 MRPL38 2.034e-05
230 DUS4L 3.403e-06
231 HLA-B 8.3034e-05
232 CRHR1 0.00034267
233 NEK8 1.407e-06
234 NIPSNAP1 0.00034902
235 MYO15A 0.00035519
236 ITGB1BP1 0.00035593
237 PHF11 8.6012e-06
238 PHIP 0.00036356
239 USP10 0.00036732
240 ACTR2 1.2494e-05
241 CTSH 0.0003852
242 SEC61A1 0.0001024
243 SCUBE2 0.0003983
244 BCKDHA 1.3641e-05
245 CYP2S1 0.0004053
246 RBPMS2 0.00041215
247 GSTM4 0.00041251
248 ERP29 0.0004053
249 LMOD1 0.00042427
250 ATP6V0A1 3.8065e-06
251 KCNJ13 3.9045e-06
252 AAR2 0.00048428
253 PTPN11 4.2342e-07
254 GLIS2 0.00049771
255 TUBG2 0.00049966
256 BBOX1 1.1404e-05
257 CNPY4 0.00052494
258 AP3M1 0.0005315
259 ETV4 0.00054008
260 RRBP1 0.00054268
261 DENND1B 0.00056392
262 CD302 0.00056773
263 ZNF638 0.00059234
264 NDST2 0.00059597
265 DHX36 9.6355e-05
266 UNK 0.00060809
267 THOC5 0.00034902
268 UPB1 0.00064893
269 IRAK1BP1 0.00036356
270 ZFP36L2 0.00067363
271 UBXN2A 0.00067769
272 BNIP1 1.4095e-09
273 MON1A 0.00068477
274 ZSWIM8 0.00068583
275 HSF2BP 0.0006873
276 AZGP1 0.00068822
277 RNF123 0.00069562
278 PDE1A 0.0006959
279 TBX2 0.00070049
280 TMEM199 3.8065e-06
281 FAM213A 0.00073129
282 ENSA 0.00073207
283 OAZ3 0.00073503
284 RUVBL1 2.5603e-08
285 EHBP1 0.00022737
286 ATAD2B 0.00036356
287 CYP46A1 2.5103e-11
288 MAPK7 0.0007635
289 CEP164 0.00076636
290 GPR149 0.00079194
291 RBMS1 0.00079876
292 PDLIM5 0.00074455
293 FBF1 0.00033165
294 NRP1 9.325e-06
295 C4orf17 0.00083966
296 HMGCR 3.9614e-09
297 RNF181 0.00086149
298 SLC22A2 0.00086546
299 F2RL1 8.0829e-06
300 ADK 1.7607e-05
301 ATP2B1 0.00090103
302 SLCO5A1 0.00090212
303 KALRN 0.0001245
304 LRRC25 0.00092397
305 SIX5 0.00094852
306 DPH1 0.00094991
307 TRAIP 0.00096094
308 PPIA 6.4028e-05
309 ZADH2 0.00098134
310 PURB 0.00099137
311 ANXA9 0.0010011
312 DOT1L 0.0010129
313 WNT2 0.0010185
314 HTRA1 0.0010267
315 LOXL4 0.00015986
316 FABP2 0.0010325
317 ZNF644 0.0003852
318 USP48 0.0010469
319 MST1R 0.0010536
320 BTBD19 0.0010929
321 TAB2 1.4715e-05
322 HELLS 0.00020446
323 CDC25A 0.0011338
324 SUSD2 0.0011366
325 RNF5 0.0011467
326 CALCOCO1 0.0011482
327 USP35 0.0011575
328 CNP 0.001169
329 SPG7 1.3529e-06
330 KAT5 2.7233e-10
331 ABCB4 0.0012502
332 GJC3 0.00013104
333 LARP4B 0.00027472
334 EDEM2 0.0012839
335 ANXA4 0.0012911
336 BUD13 1.1568e-05
337 FAM109A 1.8853e-05
338 APOA5 1.9431e-11
339 EXOC6B 9.0588e-05
340 PPP2R3C 0.0013105
341 TLE4 0.0013277
342 SNRPD2 0.00015138
343 AGER 1.4715e-05
344 PDE8A 0.00089833
345 FOLH1 0.0013521
346 TRPC4AP 0.0012839
347 CNTNAP1 0.0014154
348 CTSK 0.0014227
349 RASGEF1B 0.001423
350 PSD 0.0014234
351 LAMC2 8.0829e-06
352 CTTN 1.9631e-05
353 KLF2 0.00020446
354 PLEKHJ1 0.0012954
355 OBP2B 0.0014807
356 PTPRJ 0.0015025
357 TAL2 0.0015028
358 TERT 2.7233e-10
359 HAUS6 0.0015095
360 IL10 5.4495e-10
361 SPINK8 0.0015372
362 RAD54L2 0.0015542
363 CDHR4 0.0015685
364 PEX1 0.0015689
365 MYH7B 0.00099137
366 B3GNT8 0.0016194
367 EHBP1L1 0.0016285
368 CEP70 0.00164
369 SBF2 0.0016637
370 AGFG2 0.0016769
371 NOS3 4.7727e-11
372 SUMO1 5.7892e-08
373 PROCA1 0.0017054
374 SGCD 1.9631e-05
375 GBE1 0.0017952
376 MYO1A 0.00036931
377 HIPK3 0.0018248
378 BRINP3 0.0018296
379 HORMAD1 0.0018848
380 USP53 0.0018926
381 DSTN 0.00036931
