#N E pmin p1min pmax wmin wmax wave
6693 73109 1.25e-61 1.25e-61 0.99632 0 2147483652.57327 998707.230666584
#nodeindex nodename nodeweight
0 TCF7L2 1.25e-61
1 CDKAL1 2.41e-17
2 FTO 7.55e-11
3 IDE 8.96e-09
4 WFS1 2.41e-17
5 ACSL1 3.87e-08
6 CENPW 1.91e-06
7 KIF11 2.06e-06
8 HHEX 1.25e-08
9 TSPAN8 3.02e-06
10 MARCHF5 3.34e-06
11 LRP2 3.94e-06
12 THADA 6.76e-06
13 NAA20 1.17e-05
14 PITX2 2.33e-05
15 ZNF10 4.02e-05
16 CRNKL1 6.24e-05
17 ETAA1 6.49e-05
18 DGAT1 9e-05
19 PIM3 9.08e-05
20 PLN 9.71e-05
21 PLEKHA1 0.00012748
22 RGS17 0.00013649
23 ZMIZ1 0.00014778
24 HMGA2 0.00015303
25 ADAMTS3 0.00017464
26 CPEB3 0.0001764
27 ANXA4 0.00021002
28 LDHB 0.00024467
29 SEMA4C 1.25e-08
30 BOP1 0.00042763
31 OASL 0.00048913
32 KIF3C 2.06e-06
33 BEND7 0.00049634
34 KLHL42 0.00050119
35 RANBP2 1.25e-61
36 NEUROG3 0.00057367
37 FGFRL1 3.94e-06
38 CCDC138 0.00061857
39 SPON2 0.00061891
40 SPC25 0.00056538
41 ACYP2 0.00066496
42 CTRB2 0.00074788
43 MAPK10 0.00090589
44 MTMR3 0.00093626
45 HORMAD2 0.00097391
46 BTRC 1.25e-08
47 ZNF239 1.25e-08
48 PCM1 0.0010593
49 FBRSL1 0.0012364
50 NUS1 0.0012426
51 EYA2 0.0012432
52 PIGH 0.0013139
53 VASH1 0.0013336
54 EMC8 0.0013905
55 STARD7 0.0014161
56 RPGRIP1L 0.0014554
57 NOL10 0.0014681
58 DDX39B 0.0014796
59 SMARCAD1 0.0015582
60 ZFP41 3.94e-06
61 SLC44A4 0.0017312
62 SAR1A 3.34e-06
63 SAMM50 0.0019141
64 L3MBTL3 0.0019704
65 HS3ST6 0.0020277
66 CDCA7 1.25e-08
67 RNF182 0.0020796
68 GINS2 0.002169
69 TEDC1 0.0021955
70 BTAF1 0.0023541
71 STRN3 0.0023592
72 GMCL1 0.0024323
73 HNF4A 0.0025676
74 HNRNPC 0.00056538
75 CDT1 0.0026405
76 TGFB1I1 0.0028321
77 CEP85L 0.0029713
78 CDH7 0.0030495
79 SEC14L5 0.0031317
80 HSF1 0.001044
81 PLCG1 0.0033803
82 FGL1 0.0034565
83 CYP2E1 0.0036004
84 PRODH 0.003626
85 SLC8A1 0.0036701
86 GPRC5B 0.0040803
87 CTRB1 0.00074788
88 TYSND1 0.0041273
89 SPIRE1 0.0041684
90 SEZ6L2 0.00048913
91 CCDC96 0.0042721
92 MRTFB 0.0043521
93 QPRT 0.0045818
94 SYT10 0.00042763
95 ITM2C 0.0046766
96 MCCD1 0.0048237
97 RESF1 0.004874
98 C8orf37 0.0049351
99 ANK1 0.0049775
100 ASCC2 0.0050439
101 STX11 0.0051375
102 ANXA11 0.005181
103 CIDEA 0.0052503
104 C2 0.0052915
105 MICB 0.0054857
106 LY6H 0.0057515
107 ZNF268 0.0057658
108 HAGH 0.0058008
109 BAG6 1.25e-08
110 NOSTRIN 0.0058887
111 FBLN1 1.25e-61
112 CTSZ 0.0060118
113 PDGFC 0.0060136
114 NPHP1 0.0014554
115 ANKS1A 0.006121
116 UQCR10 0.0061509
117 REEP4 0.0061571
118 COL21A1 0.0061591
119 PRELID3A 0.0061785
120 CCDC88C 0.0062784
121 UTF1 0.0062965
122 NELFCD 0.0063225
123 GALNT3 0.0063473
124 BANP 0.0019704
125 PNPLA3 9e-05
126 PPA1 0.0065748
127 CCDC116 0.0065911
128 SPPL3 0.0066727
129 NRXN1 0.0066924
130 PINX1 0.0068351
131 ZNF322 0.0068908
132 ABCC9 0.0070142
133 HLA-DRB1 2.06e-06
134 UNC5CL 0.0071423
135 PSORS1C2 0.0065029
136 MC4R 0.0072398
137 SLX4IP 0.0072477
138 PRICKLE1 0.0073446
139 CDKN1A 0.0025676
140 P2RX4 0.0013139
141 MTUS1 0.007925
142 LRP5L 0.0080639
143 JRK 1.25e-61
144 VENTX 0.0082066
145 SLC7A6 0.0082639
146 KLHL23 0.0075923
147 EHMT2 0.0015582
148 GATA4 0.0083828
149 NFATC1 0.0084669
150 GXYLT1 0.0084941
151 EPG5 0.0085723
152 PRMT5 0.00056538
153 C10orf62 0.0090377
154 SPRED2 1.25e-08
155 APOL1 0.0091456
156 SPSB3 0.0092055
157 NAT2 0.0014161
158 SKIV2L 0.00048913
159 GP2 0.00021002
160 TACR3 0.0097553
161 FOXC2 2.33e-05
162 NKX3-2 0.010178
163 CUL3 0.00050119
164 TMEM229B 0.0061571
165 KATNB1 0.010355
166 KDSR 1.25e-08
167 SUMO1 0.00056538
168 TPBG 0.0026252
169 NIPSNAP1 0.010916
170 ATOH1 2.06e-06
171 MPHOSPH9 0.011111
172 STK19 0.011169
173 SLC16A10 0.011242
174 GOLT1B 0.0018132
175 MXD1 0.011439
176 ZFP36L2 0.0090372
177 TAOK2 0.011718
178 ZBTB12 0.011781
179 IQCK 0.011795
180 ARSJ 0.012043
181 SMPD3 0.012411
182 EIPR1 0.012478
183 BMPR2 0.012529
184 FDFT1 0.0077828
185 IDO1 0.01282
186 IL15 0.012832
187 STK17B 0.012979
188 DUSP28 0.013018
189 ERI1 0.013045
190 NECAP1 0.013072
191 WNT10A 0.013277
192 NDRG1 0.013325
193 WDR43 0.013336
194 CTDP1 0.0063225
195 TAF11 0.013442
196 RPL3L 0.01389
197 TMEM219 0.014206
198 NOP58 0.00042763
199 TMEM106C 9.71e-05
200 NKX2-3 0.014465
201 TADA2B 1.25e-08
202 C16orf89 0.014549
203 SHLD1 1.25e-08
204 PMEPA1 0.014803
205 HLA-DRA 2.06e-06
206 PDILT 0.014962
207 ZHX3 0.0058705
208 ITGAD 0.015106
209 PAPLN 0.015224
210 NEFH 0.015235
211 BCAR1 0.0060773
212 IL15RA 0.012832
213 PARP11 0.015504
214 EME2 0.015539
215 SLC5A2 0.015562
216 PAGR1 0.0072477
217 EPB41L5 0.01574
218 GLI4 1.25e-08
219 BEND3 0.016124
220 FITM2 0.016226
221 NIP7 0.00048913
222 LEMD3 0.0061571
223 HK1 0.0058008
224 FAM184A 0.016527
225 TMEM18 0.016531
226 THOC5 0.016574
227 SIRPG 0.016653
228 TLCD3B 0.017001
229 GSG1 0.017015
230 PITPNB 0.01703
231 CALB2 0.017047
232 DNAJC12 0.017435
233 TESPA1 0.017881
234 SUDS3 0.011439
235 ATF7IP2 0.018002
236 BTN3A1 0.018458
237 SENP1 0.010832
238 SNRNP27 0.018577
239 KLHDC2 0.00050119
240 ARF6 0.018577
241 RAD51AP1 0.018738
242 SEC31B 0.018758
243 MAPRE3 0.011718
244 PTK2 0.0028321
245 ZNF696 1.25e-08
246 ZFPM1 0.0083828
247 PHLPP1 0.01964
248 NAGPA 0.019654
249 MTMR9 0.019824
250 WDR90 0.019864
251 VDR 0.0025676
252 PCK1 0.020206
253 TUBA1B 0.011585
254 TOP1 0.0026252
255 YLPM1 0.02032
256 RBM38 0.020332
257 JAG2 0.020464
258 SCD5 0.020467
259 AP4S1 0.020476
260 EMILIN3 0.020858
261 DHRS4L2 0.021106
262 GGT1 0.021253
263 RECQL 0.011279
264 PLA2R1 0.021377
265 HIF1AN 0.0049775
266 SNRNP25 0.021447
267 XKR6 0.021632
268 CCR6 0.021648
269 DCAF5 0.021718
270 DTNB 0.021747
271 WNT8B 0.021902
272 DOK4 0.018861
273 UNC5C 0.018898
274 OTX1 0.00013649
275 LRIG3 0.023148
276 PDSS2 0.023216
277 OPLAH 0.023306
278 GIGYF2 0.0075923
279 PLAU 3.94e-06
280 TRHR 0.0097553
281 PPP4R3A 0.018577
282 KIAA0408 1.25e-08
283 MB 0.023668
284 SSH1 0.023864
285 MSRA 0.023974
286 NUBP2 6.76e-06
287 ZNF205 0.024117
288 KLC1 2.06e-06
