#N E pmin p1min pmax wmin wmax wave
6168 43483 1.25e-61 1.25e-61 0.99641 0 4294967294 1827310.05843744
#nodeindex nodename nodeweight
0 TCF7L2 1.25e-61
1 CDKAL1 1.25e-61
2 FTO 1.25e-61
3 IDE 8.96e-09
4 WFS1 1.25e-61
5 ACSL1 3.87e-08
6 CENPW 1.91e-06
7 KIF11 2.06e-06
8 HHEX 1.25e-61
9 TSPAN8 3.02e-06
10 LRP2 3.94e-06
11 THADA 2.41e-17
12 NAA20 1.17e-05
13 PITX2 2.33e-05
14 ZNF10 4.02e-05
15 CRNKL1 6.24e-05
16 ETAA1 6.49e-05
17 DGAT1 9e-05
18 ZNF140 9.45e-05
19 PLN 9.71e-05
20 PLEKHA1 0.00012748
21 RGS17 0.00013649
22 TMEM189-UBE2V1 0.00013985
23 ZMIZ1 0.00014778
24 HMGA2 0.00015303
25 UBE2V1 0.00016211
26 RNF212 0.00016475
27 ADAMTS3 0.00017464
28 CPEB3 0.0001764
29 ANXA4 0.00021002
30 LDHB 0.00024467
31 SEMA4C 0.00026734
32 BOP1 0.00042763
33 OASL 0.00048913
34 KIF3C 0.00049039
35 BEND7 0.00049634
36 KLHL42 0.00050119
37 FAM234A 0.00056389
38 RANBP2 0.00056538
39 NEUROG3 0.00057367
40 TMEM189 0.00013985
41 FGFRL1 0.0006066
42 CCDC138 0.00061857
43 SPON2 0.00017464
44 SPC25 1.91e-06
45 ACYP2 0.00066496
46 CTRB2 0.00074788
47 MAPK10 0.00090589
48 MTMR3 0.00093626
49 HORMAD2 0.00097391
50 BTRC 1.25e-61
51 ZNF239 0.0010478
52 PCM1 0.0010593
53 FBRSL1 0.0012364
54 NUS1 0.0012426
55 EYA2 0.0012432
56 PIGH 0.0013139
57 VASH1 0.0013336
58 EMC8 0.0013905
59 RPGRIP1L 7.55e-11
60 NOL10 0.00042763
61 DDX39B 0.0014796
62 SMARCAD1 0.0015582
63 SAR1A 0.0018132
64 SAMM50 0.0019141
65 L3MBTL3 0.0019704
66 HS3ST6 0.0020277
67 CDCA7 2.06e-06
68 GINS2 2.06e-06
69 BTAF1 0.0023541
70 STRN3 0.0023592
71 HNF4A 1.25e-61
72 HNRNPC 0.00056538
73 CDT1 2.06e-06
74 TGFB1I1 0.0028321
75 CEP85L 0.0029713
76 SEC14L5 0.0031317
77 HSF1 0.003351
78 PLCG1 0.00093626
79 FGL1 0.0034565
80 DEFB136 0.0035851
81 CYP2E1 0.0036004
82 PRODH 0.003626
83 SLC8A1 9.71e-05
84 GPRC5B 0.0040803
85 CTRB1 0.00074788
86 TYSND1 8.96e-09
87 SPIRE1 0.0041684
88 SEZ6L2 0.0042446
89 CCDC96 0.0042721
90 KLHDC1 0.0044144
91 QPRT 0.0045818
92 SYT10 0.0046559
93 ITM2C 0.0046766
94 MCCD1 0.0048237
95 C8orf37 0.0049351
96 ANK1 0.0049775
97 ASCC2 6.24e-05
98 STX11 0.0051375
99 ANXA11 0.005181
100 CIDEA 0.0052503
101 C2 0.0052915
102 NHSL1 0.0054031
103 MICB 0.0054857
104 TLL2 0.0054899
105 LY6H 0.0057515
106 HAGH 0.0058008
107 BAG6 0.0058705
108 NOSTRIN 0.0058887
109 FBLN1 0.0059854
110 CTSZ 0.0060118
111 PDGFC 0.0060136
112 NPHP1 0.0014554
113 ANKS1A 0.006121
114 UQCR10 0.0061509
115 COL21A1 0.0061591
116 UTF1 0.0062965
117 NELFCD 0.0063225
118 GALNT3 0.0063473
119 BANP 0.0065029
120 PNPLA3 9e-05
121 PPA1 0.0065748
122 TMEM127 0.0065911
123 CCDC116 0.0065911
124 SPPL3 0.0066727
125 NRXN1 0.0046559
126 PINX1 0.0014681
127 ABCC9 0.0070142
128 HLA-DRB1 0.0033803
129 MC4R 7.55e-11
130 SLX4IP 0.0072477
131 PRICKLE1 0.0073446
132 RAB36 0.0075656
133 CDKN1A 0.0075923
134 P2RX4 0.0077828
135 MTUS1 0.007925
136 LRP5L 0.0080639
137 JRK 0.0081659
138 LRRC74A 0.008216
139 SLC7A6 0.0082639
140 EHMT2 0.0083779
141 GATA4 0.0025676
142 NFATC1 0.00090589
143 GXYLT1 0.0084941
144 EPG5 0.0085723
145 PRMT5 0.0090372
146 SPRED2 0.009038
147 APOL1 0.0091456
148 NAT2 0.0036004
149 NWD2 0.0095714
150 SKIV2L 0.0095785
151 GP2 0.00021002
152 TACR3 0.0097553
153 FOXC2 0.0084669
154 NKX3-2 0.010178
155 CUL3 0.00050119
156 TMEM229B 0.010299
157 KATNB1 0.010355
158 KDSR 0.010755
159 SUMO1 0.00056538
160 TPBG 0.010885
161 NIPSNAP1 0.010916
162 ATOH1 0.011003
163 MPHOSPH9 0.011111
164 STK19 0.0095785
165 SLC16A10 0.011242
166 GOLT1B 0.00024467
167 MXD1 0.0065911
168 ZFP36L2 0.011585
169 TAOK2 0.011718
170 ZBTB12 0.0095785
171 IQCK 0.011795
172 SMPD3 0.012411
173 BMPR2 0.0083828
174 FDFT1 0.0012426
175 IDO1 0.01282
176 IL15 0.012832
177 DUSP28 0.013018
178 ERI1 0.013045
179 NECAP1 0.013072
180 WNT10A 0.013277
181 NDRG1 0.013325
182 WDR43 0.00042763
183 CTDP1 0.0090372
184 TAF11 0.013442
185 RPL3L 0.01389
186 TMEM163 0.013898
187 PPP1R3G 0.014093
188 C12orf65 0.014217
189 NOP58 0.00042763
190 TADA2B 0.014533
191 PMEPA1 0.014803
192 HLA-DRA 0.0033803
193 PDILT 0.014962
194 ZHX3 0.015015
195 ITGAD 0.015106
196 PAPLN 0.015224
197 NEFH 0.015235
198 BCAR1 0.0028321
199 IL15RA 0.012832
200 PARP11 0.015504
201 EME2 0.015539
202 SLC5A2 0.015562
203 EPB41L5 0.01574
204 DPY19L2 0.015917
205 ABHD1 0.016034
206 UGT2A2 0.0036004
207 FITM2 0.016226
208 NIP7 0.00042763
209 DEFB134 0.0035851
210 HEATR4 0.016396
211 LEMD3 0.01647
212 HK1 0.016495
213 TMEM18 7.55e-11
214 THOC5 0.0014796
215 SIRPG 0.016653
216 GSG1 0.017015
217 CALB2 0.017047
218 G6PC2 0.016495
219 TESPA1 0.0033803
220 SUDS3 0.011439
221 BTN3A1 0.018458
222 SENP1 0.00056538
223 SNRNP27 0.018577
224 ARF6 0.013072
225 RAD51AP1 2.06e-06
