#N E pmin p1min pmax wmin wmax wave
8829 118464 1.44e-14 1.44e-14 0.99346 0 2147483649.46454 90639.3630019937
#nodeindex nodename nodeweight
0 IGF2BP2 1.44e-14
1 GAPVD1 3.27e-07
2 PRC1 3.29e-07
3 KCNQ1 5.26e-07
4 HSD17B12 9.01e-07
5 JAZF1 1.38e-06
6 ARL15 1.81e-06
7 BACE2 1.87e-06
8 SAXO1 2.45e-06
9 LTBP3 3.74e-06
10 FIBP 4.24e-06
11 MAN2A2 9.23e-06
12 GIT1 9.23e-06
13 VPS33B 1.06e-05
14 UBE3C 1.27e-05
15 VPS13C 1.42e-05
16 RCCD1 1.56e-05
17 APOC1 1.76e-05
18 MACF1 2.18e-05
19 CORO6 4.31e-05
20 FBXO46 4.98e-05
21 PRKAR2B 5.29e-05
22 SIPA1 6.02e-05
23 ANKRD13B 6.15e-05
24 SCAP 6.29e-05
25 MAP3K11 6.84e-05
26 LYPD3 7.88e-05
27 MRPL23 8.2e-05
28 HAUS6 8.2e-05
29 CAND2 1.27e-05
30 SETD2 8.89e-05
31 ZZEF1 9.18e-05
32 UNC45A 9.23e-05
33 CFL1 9.99e-05
34 KIF9 1e-04
35 OVOL1 0.00012112
36 GNAT3 0.00012185
37 DCDC1 0.00012452
38 ELP4 0.000127
39 TEX43 0.00012931
40 APOE 0.00013524
41 FOSL1 0.00014627
42 KLHL18 0.00015683
43 PPARG 1.38e-06
44 TIMP4 0.00018069
45 MAN1C1 0.00021448
46 ETHE1 0.00021704
47 PCNX3 0.0002496
48 EZH2 0.0002614
49 RELA 0.00017567
50 CUL1 4.98e-05
51 NEO1 0.00029663
52 KCNJ11 5.29e-05
53 GIPR 0.00032547
54 UBE2U 0.00036171
55 UBE2Z 0.00036634
56 SNF8 0.00037626
57 FAM102B 0.00038321
58 MUS81 0.000391
59 PTPN23 0.00039766
60 SSH2 9.99e-05
61 LIPH 0.00043656
62 KCNK7 0.00047314
63 HCN4 0.00047933
64 NBEAL2 0.0004904
65 UNC13C 0.0004919
66 PABPC4 0.00029001
67 SNRPD2 0.00029001
68 SLITRK6 0.00055235
69 NXPE3 0.00058454
70 PHLDB3 8.2e-05
71 MAP3K13 0.00061066
72 MOCS2 0.00062045
73 FAM102A 0.00065916
74 ANKFY1 0.0002614
75 CDC14A 0.00067354
76 KCNJ10 0.00072848
77 PIP5KL1 0.000771
78 RFX3 0.00079857
79 DPM2 0.00080998
80 CACNA1G 0.00083352
81 UNC93B1 9.01e-07
82 DOHH 0.00086098
83 RPAP1 0.00089298
84 QPCTL 0.0009338
85 CTDNEP1 0.00095861
86 TAGLN 9.99e-05
87 PURB 0.0011184
88 MAPKAPK2 0.001126
89 PLXND1 2.18e-05
90 EHBP1L1 0.0012732
91 P4HTM 0.001291
92 IMMP1L 0.0013063
93 ELP5 0.000127
94 KIAA0754 0.0014264
95 KDELR1 0.0014636
96 POMT1 0.0014646
97 SLC22A14 0.0015543
98 BRD4 6.02e-05
99 DCAF7 0.0015772
100 OLFM4 0.0009338
101 GET1 0.0016506
102 RAB11B 0.0017153
103 CD36 0.00017567
104 MYOG 0.001777
105 GIP 0.00032547
106 PRRC2B 0.0018798
107 BAIAP2 0.0019292
108 FAM126A 0.0019425
109 SLC25A15 0.0019537
110 TSPAN3 0.0019608
111 EVI2A 0.0019776
112 SENP2 0.00013524
113 PRRT4 0.0020626
114 SIAH2 8.89e-05
115 TP53I13 0.0021271
116 MAP2K6 0.00026765
117 MPHOSPH8 0.0022108
118 SCYL1 0.0022654
119 CLDN7 0.00085019
120 FCN3 0.0022982
121 RSPH6A 0.0023816
122 ZBTB11 0.0023967
123 LRRC49 0.0024903
124 PNPLA6 0.0025657
125 PECAM1 0.00258
126 PRR16 0.0026118
127 H2AZ2 0.0026601
128 ATP5MC1 0.0027168
129 FOXO1 0.00017567
130 MAP3K3 0.0027612
131 TH 0.001126
132 PPP1R2 0.0028021
133 ADM 0.00032547
134 TRRAP 1.38e-06
135 H1-10 0.00029001
136 SPNS2 0.0029639
137 TRPM6 0.0030745
138 KAT5 0.00051774
139 TARS1 0.00029001
140 ACTBL2 9.99e-05
141 HSPB3 9.18e-05
142 ZFP2 0.0032369
143 ARL8A 0.0032655
144 FOXJ3 0.0034662
145 PSTPIP1 0.0034806
146 DRD3 0.00012185
147 ELP6 0.000127
148 GRIN2D 0.0035024
149 TMEM267 0.0035059
150 HRH1 0.0035951
151 PAIP1 0.0036531
152 CEP97 0.00015683
153 ARAP1 0.0037341
154 ZNF506 0.0038048
155 TRAK1 0.0038644
156 ACE 0.0038981
157 TBCE 0.0039178
158 CDKN2B 0.0002614
159 PTH1R 0.00032547
160 DENND2B 0.0039788
161 ITGA2 0.004086
162 EHHADH 0.0034806
163 ZMYM5 0.004136
164 DUS3L 0.0041874
165 SCAI 0.0041881
166 LPGAT1 0.0042033
167 PSPC1 0.0043733
168 RCBTB2 0.0044186
169 TBX21 0.0045015
170 RAB19 0.004555
171 SYN2 0.0046011
172 PROK2 0.0035951
173 ABCB10 0.0046054
174 NF1 0.0035024
175 CD248 0.0046508
176 EXOC4 0.0046833
177 HDDC3 0.004751
178 LSM14A 0.0048018
179 RB1 0.00017567
180 HMCES 0.0050013
181 ATP2A3 0.0051417
182 ITM2B 0.0052927
183 RBM5 0.00013524
184 GHRHR 0.00032547
185 ZNF836 0.0056027
186 HENMT1 0.0056545
187 MRPL38 0.003149
188 COG5 0.00085019
189 EPHB3 0.0057537
190 HSPA5 0.00013524
191 EVI2B 0.0062733
192 ARHGAP26 0.006323
193 BAZ1B 0.0063374
194 TOMM40 0.0063823
195 LCA5L 0.0064048
196 VAMP2 0.0064597
197 FBXL13 0.0064947
198 DDX25 0.0066348
199 THOC7 1.27e-05
200 DUSP14 0.0017153
201 DVL2 9.99e-05
202 BRK1 0.0019292
203 MAPKAP1 0.00461
204 IGF2BP1 1.44e-14
205 GOLGA1 0.0046833
206 TSHZ3 0.0069529
207 CD82 0.0069795
208 HYOU1 0.0002614
209 TRIM34 0.00036171
210 ZBTB20 0.00017567
211 IL10 0.0073477
212 GNPDA1 0.0039178
213 RBM6 0.0076156
214 FAM170A 0.0078861
