#N E pmin p1min pmax wmin wmax wave
7721 64513 1.44e-14 1.44e-14 0.98703 0 2147483651.68792 133151.131697502
#nodeindex nodename nodeweight
0 IGF2BP2 1.44e-14
1 GAPVD1 3.27e-07
2 PRC1 3.29e-07
3 KCNQ1 5.26e-07
4 HSD17B12 9.01e-07
5 JAZF1 1.44e-14
6 BACE2 1.87e-06
7 LTBP3 3.74e-06
8 FIBP 4.24e-06
9 MAN2A2 9.23e-06
10 GIT1 1.03e-05
11 VPS33B 1.06e-05
12 UBE3C 1.27e-05
13 VPS13C 1.42e-05
14 APOC1 1.76e-05
15 MACF1 2.18e-05
16 TEX2 3.64e-05
17 FBXO46 4.98e-05
18 PRKAR2B 5.29e-05
19 CCDC12 5.4e-05
20 SIPA1 6.02e-05
21 SCAP 6.29e-05
22 MAP3K11 6.84e-05
23 LYPD3 7.88e-05
24 HAUS6 8.2e-05
25 CAND2 8.77e-05
26 SETD2 8.89e-05
27 ZZEF1 9.18e-05
28 UNC45A 9.23e-05
29 CFL1 9.99e-05
30 KIF9 1e-04
31 GNAT3 0.00012185
32 DCDC1 0.00012452
33 ELP4 0.00012452
34 APOE 1.76e-05
35 FOSL1 6.84e-05
36 KLHL18 0.00015683
37 PPARG 0.00013524
38 TIMP4 0.00018069
39 MAN1C1 9.23e-06
40 ETHE1 7.88e-05
41 EZH2 3.29e-07
42 RELA 6.84e-05
43 CUL1 4.98e-05
44 NEO1 0.00029663
45 KCNJ11 1.44e-14
46 GIPR 0.00032547
47 UBE2U 0.00036171
48 C2CD4A 0.00036342
49 UBE2Z 0.00036171
50 SNF8 0.00037626
51 FAM102B 0.00038321
52 MUS81 0.000391
53 PTPN23 0.00039766
54 SSH2 9.99e-05
55 LIPH 0.00043656
56 KCNK7 0.00047314
57 HCN4 0.00047933
58 UNC13C 0.0004919
59 PABPC4 0.0004969
60 SNRPD2 0.00051774
61 SLITRK6 0.00055235
62 NXPE3 0.00058454
63 PHLDB3 7.88e-05
64 MAP3K13 0.00061066
65 MOCS2 0.00062045
66 FAM102A 0.00065916
67 ANKFY1 0.00066734
68 CDC14A 0.00067354
69 KCNJ10 0.00072848
70 PIP5KL1 0.000771
71 RFX3 0.00079857
72 DPM2 0.00065916
73 CACNA1G 0.00083352
74 UNC93B1 0.00085019
75 DOHH 0.00086098
76 RPAP1 0.00089298
77 QPCTL 0.0009338
78 CTDNEP1 0.00095861
79 TAGLN 0.00098893
80 PURB 0.0011184
81 MAPKAPK2 0.000127
82 PLXND1 0.0011904
83 EHBP1L1 0.0012732
84 P4HTM 0.001291
85 IMMP1L 0.00012452
86 ELP5 0.000127
87 KDELR1 0.0014636
88 POMT1 0.00080998
89 SLC22A14 0.0015543
90 BRD4 6.02e-05
91 DCAF7 0.0015772
92 OLFM4 0.0015941
93 RAB11B 0.0017153
94 CD36 0.00017567
95 MYOG 0.001777
96 GIP 0.00032547
97 PRRC2B 0.0018798
98 BAIAP2 0.0019292
99 FAM126A 0.0019425
100 SLC25A15 0.0019537
101 TSPAN3 0.0019608
102 EVI2A 0.0019776
103 SENP2 0.0019949
104 SIAH2 0.0021204
105 SEMA6B 0.0011904
106 MAP2K6 6.84e-05
107 MPHOSPH8 0.0022108
108 SCYL1 0.0022654
109 CLDN7 0.0022776
110 FCN3 0.0022982
111 RSPH6A 0.0023816
112 LRRC49 0.0024903
113 PNPLA6 0.0025657
114 PECAM1 0.00258
115 PRR16 0.0026118
116 FOXO1 0.00017567
117 MAP3K3 0.0022002
118 TH 0.001126
119 PPP1R2 0.0028021
120 SYNGR4 0.0028481
121 ADM 0.002855
122 TRRAP 0.00029001
123 SPNS2 0.0029639
124 TRPM6 0.0030745
125 KAT5 0.00026765
126 ACTBL2 0.0031416
127 HSPB3 0.001126
128 FOXJ3 0.0034662
129 PSTPIP1 0.0034806
130 DRD3 0.0034903
131 ELP6 0.000127
132 GRIN2D 0.0035024
133 HRH1 0.0035951
134 PAIP1 0.0004969
135 TCAIM 0.0036769
136 CEP97 0.0036842
137 ARAP1 0.0014636
138 TRAK1 0.0038644
139 ACE 0.00013524
140 TBCE 0.0039178
141 CDKN2B 0.003956
142 PTH1R 0.0039664
143 DUS4L 5.29e-05
144 ITGA2 0.0022776
145 EHHADH 0.00026765
146 DUS3L 0.0041874
147 LPGAT1 0.0042033
148 PSPC1 0.0043733
149 TBX21 0.0045015
150 RAB19 0.004555
151 SYN2 0.00018069
152 PROK2 0.004604
153 ABCB10 0.0046054
154 NF1 0.00461
155 CD248 0.0046508
156 EXOC4 0.0046833
157 HDDC3 0.004751
158 LSM14A 0.0004969
159 RB1 0.00017567
160 ATP2A3 0.0031354
161 EFCAB5 0.0052154
162 ITM2B 0.0052927
163 RBM5 0.0053513
164 GHRHR 0.0053796
165 HENMT1 0.0056545
166 MRPL38 0.0056739
167 GPR22 0.004026
168 COG5 5.29e-05
169 EPHB3 0.0057537
170 HSPA5 0.0014636
171 EVI2B 0.0019776
172 ARHGAP26 0.006323
173 BAZ1B 0.0063374
174 TOMM40 1.76e-05
175 LCA5L 0.0064048
176 VAMP2 0.0046011
177 FBXL13 0.00029001
178 DDX25 0.0066348
179 THOC7 0.0066927
180 DVL2 0.0019949
181 BRK1 0.0019292
182 MAPKAP1 0.0068592
183 IGF2BP1 1.44e-14
184 GOLGA1 0.00571
185 TSHZ3 0.0069529
186 CD82 0.0069795
187 HYOU1 0.006107
188 TRIM34 0.007167
189 LRRC17 0.0073419
190 IL10 0.0045015
191 GNPDA1 0.0075441
192 BMP8A 0.007552
193 DNAJC24 0.00012452
194 FAM170A 0.0078861
195 FBXL18 0.00029001
196 SH3BGR 0.0064048
197 LPAR6 0.00043656
198 ARHGAP33 0.0081055
199 SENP7 0.0081104
200 CAPNS1 0.008204
201 LAMC1 0.004086
202 COX10 0.0082409
203 OMG 0.0019776
204 CCND1 0.00026765
205 KCNK2 0.0084468
206 UNC13D 0.0084481
207 SLC2A8 0.0085714
208 NDUFS8 0.008584
209 CAV2 0.00083352
210 TNFSF15 0.0086583
211 OGDH 0.008712
212 ACOX1 0.00026765
213 PKNOX1 0.0088716
214 FUT1 0.008937
215 PDE3B 0.008953
