#N E pmin p1min pmax wmin wmax wave
14793 175529 1.2491e-61 1.2491e-61 0.99268 0 4294967294 905342.743200508
#nodeindex nodename nodeweight
0 TCF7L2 1.2491e-61
1 CDKAL1 1.2491e-61
2 IGF2BP2 1.2491e-61
3 FTO 2.4086e-17
4 IDE 8.9647e-09
5 WFS1 1.2491e-61
6 ACSL1 3.8716e-08
7 GAPVD1 3.2669e-07
8 PRC1 3.2905e-07
9 KCNQ1 1.2491e-61
10 HSD17B12 9.0074e-07
11 JAZF1 2.4086e-17
12 ARL15 1.8073e-06
13 BACE2 1.8698e-06
14 CENPW 1.9069e-06
15 KIF11 3.2905e-07
16 HHEX 1.2491e-61
17 TSPAN8 1.3816e-06
18 LTBP3 3.7431e-06
19 LRP2 3.9363e-06
20 FIBP 4.2388e-06
21 THADA 2.4086e-17
22 MAN2A2 9.2264e-06
23 GIT1 1.0348e-05
24 VPS33B 1.0585e-05
25 NAA20 1.1721e-05
26 UBE3C 1.2718e-05
27 VPS13C 1.4194e-05
28 RCCD1 1.5592e-05
29 APOC1 1.7616e-05
30 MACF1 2.1775e-05
31 PITX2 2.3344e-05
32 TEX2 3.6381e-05
33 ZNF10 4.0235e-05
34 FBXO46 4.9835e-05
35 PRKAR2B 5.2918e-05
36 CCDC12 5.3983e-05
37 SIPA1 6.0207e-05
38 CRNKL1 5.3983e-05
39 SCAP 6.2941e-05
40 ETAA1 6.4918e-05
41 MAP3K11 6.8442e-05
42 LYPD3 7.8783e-05
43 HAUS6 2.0555e-06
44 CAND2 8.7655e-05
45 SETD2 8.8854e-05
46 DGAT1 8.9971e-05
47 ZZEF1 9.1764e-05
48 UNC45A 9.2261e-05
49 ZNF140 9.4491e-05
50 PLN 9.7113e-05
51 CFL1 9.9915e-05
52 KIF9 1e-04
53 GNAT3 0.00012185
54 DCDC1 0.00012452
55 ELP4 0.00012452
56 PLEKHA1 0.00012748
57 TEX43 0.00012931
58 APOE 8.9647e-09
59 RGS17 0.00013649
60 TMEM189-UBE2V1 0.00013985
61 FOSL1 6.8442e-05
62 ZMIZ1 0.00014778
63 HMGA2 1.4408e-14
64 KLHL18 0.00015683
65 UBE2V1 0.00016211
66 RNF212 0.00016475
67 ADAMTS3 0.00017464
68 PPARG 1.2491e-61
69 CPEB3 0.0001764
70 TIMP4 0.00018069
71 ANXA4 0.00021002
72 MAN1C1 0.00021448
73 ETHE1 7.8783e-05
74 LDHB 0.00024467
75 EZH2 0.0002614
76 SEMA4C 0.00026734
77 RELA 0.00016211
78 CUL1 4.9835e-05
79 NEO1 0.00029663
80 KCNJ11 1.2491e-61
81 GIPR 0.00032547
82 UBE2U 0.00016211
83 C2CD4A 0.00036342
84 UBE2Z 0.00036634
85 SNF8 0.00037626
86 FAM102B 0.00038321
87 MUS81 0.00016475
88 PTPN23 0.00039766
89 BOP1 0.00042763
90 SSH2 0.0004348
91 LIPH 0.00043656
92 KCNK7 0.00047314
93 HCN4 0.00047933
94 OASL 0.00048913
95 KIF3C 0.00049039
96 UNC13C 0.0004919
97 BEND7 0.00049634
98 PABPC4 0.0004969
99 KLHL42 0.00050119
100 SNRPD2 6.2436e-05
101 SLITRK6 0.00055235
102 FAM234A 0.00056389
103 RANBP2 0.00051774
104 NEUROG3 0.00057367
105 NXPE3 0.00058454
106 PHLDB3 7.8783e-05
107 TMEM189 0.00059726
108 FGFRL1 0.0006066
109 MAP3K13 0.00061066
110 CCDC138 0.00061857
111 SPON2 0.00061891
112 MOCS2 0.00062045
113 FAM102A 0.00065916
114 SPC25 3.2905e-07
115 ACYP2 0.00066496
116 ANKFY1 0.00066734
117 CDC14A 0.00067354
118 KCNJ10 0.00072848
119 CTRB2 0.00074788
120 PIP5KL1 0.000771
121 RFX3 0.00079857
122 DPM2 0.00080998
123 CACNA1G 0.00083352
124 UNC93B1 0.00085019
125 DOHH 0.00042763
126 RPAP1 0.00089298
127 MAPK10 0.00026765
128 MTMR3 0.00093626
129 CTDNEP1 0.00095861
130 HORMAD2 0.00097391
131 TAGLN 0.00098893
132 BTRC 1.2491e-61
133 ZNF239 0.0010478
134 PCM1 0.0010593
135 PURB 0.0011184
136 MAPKAPK2 0.000127
137 PLXND1 0.0011904
138 FBRSL1 0.0012364
139 NUS1 0.0012426
140 EYA2 0.0012432
141 EHBP1L1 0.0012732
142 P4HTM 0.001291
143 IMMP1L 0.00012452
144 PIGH 0.00080998
145 VASH1 0.0013336
146 EMC8 0.0013905
147 ELP5 0.0014014
148 STARD7 0.0014161
149 RPGRIP1L 0.0014554
150 KDELR1 0.0014636
151 POMT1 0.00080998
152 NOL10 0.00042763
153 DDX39B 0.00051774
154 SLC22A14 0.0015543
155 SMARCAD1 0.0015582
156 BRD4 0.00026765
157 DCAF7 0.0015772
158 OLFM4 0.0015941
159 WRB 0.0016506
