#N E pmin p1min pmax wmin wmax wave
14066 109762 1.2491e-61 1.2491e-61 0.99871 0 2147483652.57277 880421.611676995
#nodeindex nodename nodeweight
0 TCF7L2 1.2491e-61
1 CDKAL1 2.4086e-17
2 IGF2BP2 1.4408e-14
3 FTO 7.5483e-11
4 IDE 8.9647e-09
5 WFS1 1.2491e-61
6 ACSL1 3.8716e-08
7 GAPVD1 3.2669e-07
8 PRC1 3.2905e-07
9 KCNQ1 2.4086e-17
10 HSD17B12 9.0074e-07
11 JAZF1 2.4086e-17
12 BACE2 1.8698e-06
13 CENPW 1.9069e-06
14 KIF11 2.0555e-06
15 HHEX 1.2491e-61
16 TSPAN8 1.3816e-06
17 LTBP3 3.7431e-06
18 LRP2 3.9363e-06
19 FIBP 4.2388e-06
20 THADA 2.4086e-17
21 MAN2A2 9.2264e-06
22 GIT1 1.0348e-05
23 VPS33B 1.0585e-05
24 NAA20 1.1721e-05
25 UBE3C 1.2718e-05
26 VPS13C 1.4194e-05
27 RCCD1 1.5592e-05
28 APOC1 1.7616e-05
29 MACF1 2.1775e-05
30 PITX2 2.3344e-05
31 PRKAR2B 5.2918e-05
32 CCDC12 5.3983e-05
33 SIPA1 6.0207e-05
34 CRNKL1 6.2436e-05
35 SCAP 6.2941e-05
36 ETAA1 6.4918e-05
37 MAP3K11 6.8442e-05
38 LYPD3 7.8783e-05
39 HAUS6 2.0555e-06
40 CAND2 8.7655e-05
41 SETD2 8.8854e-05
42 DGAT1 8.9971e-05
43 ZZEF1 9.1764e-05
44 UNC45A 9.2261e-05
45 PLN 9.7113e-05
46 CFL1 9.9915e-05
47 KIF9 1e-04
48 GNAT3 0.00012185
49 DCDC1 0.00012452
50 ELP4 0.00012452
51 PLEKHA1 0.00012748
52 APOE 8.9647e-09
53 RGS17 0.00013649
54 TMEM189-UBE2V1 0.00013985
55 FOSL1 6.8442e-05
56 ZMIZ1 0.00014778
57 HMGA2 1.4408e-14
58 KLHL18 0.00015683
59 UBE2V1 0.00016211
60 RNF212 0.00016475
61 ADAMTS3 0.00017464
62 PPARG 0.00017567
63 CPEB3 0.0001764
64 TIMP4 0.00018069
65 ANXA4 0.00021002
66 MAN1C1 0.00021448
67 ETHE1 7.8783e-05
68 LDHB 0.00024467
69 EZH2 3.2905e-07
70 SEMA4C 0.00026734
71 RELA 6.8442e-05
72 CUL1 8.7655e-05
73 NEO1 0.00029663
74 KCNJ11 2.6976e-06
75 GIPR 0.00032547
76 UBE2U 0.00036171
77 UBE2Z 0.00036634
78 SNF8 0.00037626
79 FAM102B 0.00038321
80 MUS81 0.000391
81 PTPN23 0.00039766
82 BOP1 0.00042763
83 SSH2 9.9915e-05
84 LIPH 0.00043656
85 KCNK7 0.00047314
86 HCN4 0.00047933
87 OASL 0.00048913
88 KIF3C 0.00049039
89 NBEAL2 0.0004904
90 UNC13C 0.0004919
91 BEND7 0.00049634
92 PABPC4 0.0004969
93 KLHL42 0.00050119
94 SNRPD2 6.2436e-05
95 FAM234A 0.00056389
96 RANBP2 0.00051774
97 NEUROG3 0.00057367
98 NXPE3 0.00058454
99 PHLDB3 0.00021704
100 TMEM189 0.00013985
101 FGFRL1 0.0006066
102 MAP3K13 0.00061066
103 CCDC138 0.00061857
104 SPON2 0.00017464
105 MOCS2 0.00062045
106 FAM102A 0.00065916
107 SPC25 2.0555e-06
108 ACYP2 0.00066496
109 ANKFY1 0.00066734
110 CDC14A 0.00067354
111 KCNJ10 0.00072848
112 CTRB2 0.00074788
113 PIP5KL1 0.000771
114 RFX3 0.00079857
115 DPM2 0.00080998
116 CACNA1G 0.00083352
117 UNC93B1 0.00085019
118 DOHH 0.00086098
119 RPAP1 0.00089298
120 MAPK10 0.00026765
121 MTMR3 0.00093626
122 CTDNEP1 0.00095861
123 HORMAD2 0.00097391
124 TAGLN 0.00098893
125 BTRC 0.00029001
126 ZNF239 0.0010478
127 PCM1 0.0010593
128 PURB 0.0011184
129 MAPKAPK2 0.000127
130 PLXND1 0.0011904
131 FBRSL1 0.0012364
132 NUS1 0.0012426
133 EYA2 0.0012432
134 EHBP1L1 0.0012732
135 P4HTM 0.001291
136 IMMP1L 0.00012452
137 PIGH 0.00080998
138 VASH1 0.0013336
139 EMC8 0.0013905
140 ELP5 0.000127
141 STARD7 0.0014161
142 RPGRIP1L 7.5483e-11
143 KDELR1 0.0014636
144 POMT1 0.0014646
145 NOL10 0.00042763
146 DDX39B 0.0014796
147 SLC22A14 0.0015543
148 SMARCAD1 0.0015582
149 BRD4 0.0015675
150 DCAF7 0.0015772
151 OLFM4 0.0015941
152 WRB 0.0016506
153 RAB11B 0.0017153
154 CD36 0.00017567
155 MYOG 0.001777
156 SAR1A 0.0018132
157 GIP 0.00032547
158 PRRC2B 0.0018798
159 SAMM50 0.0019141
160 BAIAP2 0.0019292
161 FAM126A 0.0019425
162 SLC25A15 0.0019537
163 L3MBTL3 0.0019704
164 SENP2 0.0019949
165 HS3ST6 0.0020277
166 CDCA7 2.0555e-06
167 SIAH2 0.0021204
168 GINS2 3.2905e-07
169 C14orf80 0.0021955
170 SEMA6B 0.0011904
171 MAP2K6 0.0022002
172 MPHOSPH8 0.0022108
173 SCYL1 0.0022654
174 CLDN7 0.0022776
175 FCN3 0.0022982
176 BTAF1 0.0023541
177 STRN3 0.0023592
178 RSPH6A 0.0023816
179 GMCL1 0.0024323
180 LRRC49 0.0024903
181 PNPLA6 0.0025657
182 HNF4A 1.2491e-61
183 PECAM1 0.00258
184 PRR16 0.0026118
185 HNRNPC 0.00056538
186 CDT1 0.0026405
187 H2AFV 1.2491e-61
188 ATP5G1 0.0027168
189 FOXO1 0.00090589
190 MAP3K3 0.0022002
191 TH 0.0027782
192 PPP1R2 0.0028021
193 TGFB1I1 1.0348e-05
194 SYNGR4 0.0028481
195 ADM 0.002855
196 TRRAP 1.2491e-61
197 H1FX 0.0029518
198 SPNS2 0.0029639
199 CEP85L 0.0029713
200 CDH7 0.0030495
201 TRPM6 0.0030745
202 KAT5 0.0026601
203 TARS 0.0031393
204 ACTBL2 0.0031416
205 HSPB3 0.003149
206 HSF1 0.001126
207 PLCG1 1.0348e-05
208 FGL1 0.0034565
209 FOXJ3 0.0034662
210 PSTPIP1 0.0034806
211 DRD3 0.0034903
212 ELP6 0.0034914
213 GRIN2D 0.0035024
214 GPR139 0.0035585
215 DEFB136 0.0035851
216 HRH1 0.0035951
217 CYP2E1 0.0036004
218 PRODH 0.003626
219 PAIP1 0.0036531
220 SLC8A1 0.0036701
221 TCAIM 0.0036769
222 CEP97 0.0036842
223 ARAP1 0.0037341
224 TRAK1 0.0038644
225 ACE 0.0038981
226 TBCE 0.0039178
227 CDKN2B 0.003956
228 PTH1R 0.0039664
229 ST5 0.0039788
230 DUS4L 0.004026
231 ITGA2 0.0022776
232 CTRB1 0.0041009
233 EHHADH 0.0041197
234 TYSND1 0.0041197
235 SPIRE1 0.0041684
236 DUS3L 0.00042763
237 SCAI 0.0041881
238 LPGAT1 0.0042033
239 SEZ6L2 0.0042446
240 CCDC96 0.0042721
241 PSPC1 0.0043733
242 KLHDC1 0.0044144
243 TBX21 0.0045015
244 QPRT 0.0045818
245 SYN2 0.0046011
246 PROK2 0.004604
247 ABCB10 0.0046054
248 NF1 0.00461
249 CD248 0.0046508
250 SYT10 0.0046559
251 ITM2C 0.0046766
252 EXOC4 0.0046833
253 HDDC3 0.004751
254 LSM14A 0.0048018
255 MCCD1 0.0048237
256 RB1 0.00015303
257 C8orf37 0.0049351
258 ANK1 0.0049775
259 HMCES 0.0050013
260 ASCC2 0.0050439
261 STX11 0.0051375
262 ATP2A3 9.7113e-05
263 ANXA11 0.005181
264 CIDEA 0.0052503
265 C2 0.0022982
266 ITM2B 0.0052927
267 RBM5 0.0053513
268 GHRHR 0.0053796
269 NHSL1 0.0054031
270 MICB 0.0054857
271 TLL2 0.0054899
272 HENMT1 0.0056545
273 MRPL38 0.0056739
274 GPR22 0.004026
275 COG5 5.2918e-05
276 LY6H 0.0057515
277 EPHB3 0.0057537
278 HAGH 0.0058008
279 BAG6 0.0016506
280 NOSTRIN 0.0058887
281 FBLN1 0.0059854
282 CTSZ 0.0060118
283 PDGFC 0.0060136
284 NPHP1 0.0014554
285 HSPA5 0.00056538
286 ANKS1A 0.006121
287 UQCR10 0.0061509
288 COL21A1 0.0061591
289 EVI2B 0.0062733
290 CCDC88C 0.0062784
291 UTF1 0.0062965
292 NELFCD 0.0063225
293 ARHGAP26 0.006323
294 BAZ1B 0.0026601
295 GALNT3 0.0063473
296 TOMM40 1.7616e-05
297 LCA5L 0.0064048
298 VAMP2 0.0046011
299 FBXL13 0.0064947
300 BANP 0.0065029
301 PNPLA3 0.0019141
302 PPA1 0.0065748
303 TMEM127 0.00461
304 CCDC116 0.0065911
305 DDX25 0.0066348
306 SPPL3 0.0066727
307 NRXN1 0.0046559
308 THOC7 0.0014796
309 DVL2 0.0067703
310 BRK1 0.0019292
311 PINX1 0.0068351
312 MAPKAP1 0.0068592
313 IGF2BP1 1.4408e-14
314 GOLGA1 0.0069472
315 TSHZ3 0.0069529
316 CD82 0.0069795
317 ABCC9 0.0070142
318 HLA-DRB1 0.0033803
319 HYOU1 0.006107
320 TRIM34 0.007167
321 MC4R 7.5483e-11
322 SLX4IP 0.000391
323 ZBTB20 0.0072719
324 LRRC17 0.0073419
325 PRICKLE1 0.0073446
326 IL10 0.0045015
327 GNPDA1 0.0075441
328 BMP8A 0.007552
329 RAB36 0.0075656
330 CDKN1A 0.00029001
331 RBM6 0.0076156
332 DNAJC24 0.0077763
333 P2RX4 0.0035024
334 FAM170A 0.0078861
335 FBXL18 0.00029001
336 MTUS1 0.007925
337 SH3BGR 0.0064048
338 LRP5L 0.0080639
339 LPAR6 0.0081007
340 ARHGAP33 0.0081055
341 SENP7 0.0081104
342 JRK 0.0081659
343 CAPNS1 0.008204
344 VENTX 0.0082066
345 LAMC1 0.0082151
346 LRRC74A 0.008216
347 COX10 0.0082409
348 SLC7A6 0.0082639
349 TM4SF4 0.0082685
350 OMG 0.0082816
351 CCND1 1.2491e-61
352 EHMT2 0.0015675
353 GATA4 0.0018464
354 KCNK2 0.0084468
355 UNC13D 0.0051375
356 NFATC1 0.00014627
357 GXYLT1 0.0084941
358 SYNDIG1L 0.0084976
359 SLC2A8 0.0085714
360 EPG5 0.0085723
361 NDUFS8 0.0019141
362 CAV2 0.00083352
363 TNFSF15 0.0086583
364 OGDH 0.008712
365 ACOX1 8.9647e-09
366 PKNOX1 0.0088716
367 FUT1 0.008937
368 PDE3B 0.008953
369 ZNF787 0.0090114
370 BBS4 0.0010593
371 PRMT5 0.00026765
372 SPRED2 0.00461
373 APOL1 1.7616e-05
374 SPIB 0.0091816
