#N E pmin p1min pmax wmin wmax wave
13949 158137 6.7724e-15 6.7724e-15 1 0 2147483650.76285 1140711.77515639
#nodeindex nodename nodeweight
0 TERT 6.7724e-15
1 DCBLD1 1.8017e-12
2 VTI1A 8.9944e-10
3 TP63 6.3826e-07
4 ERCC6 1.0146e-06
5 BTNL2 2.8631e-06
6 PSORS1C1 6.1921e-06
7 AKAP13 6.459e-06
8 ROS1 1.1571e-05
9 DSP 1.1818e-05
10 GABBR1 1.3155e-05
11 ACTR10 1.728e-05
12 WNK1 2.5729e-05
13 HLA-DPB1 2.5946e-05
14 ZNF263 2.6753e-05
15 BPTF 1.0146e-06
16 P2RY13 3.6529e-05
17 TIGD7 3.9382e-05
18 OR11A1 4.7235e-05
19 DDR1 4.7458e-05
20 ACVR1B 6.1761e-05
21 SHISA6 6.1981e-05
22 TP53BP1 6.6213e-05
23 GTF2H4 7.2345e-05
24 FGF1 8.1731e-05
25 CLPTM1L 6.7724e-15
26 HLA-DPA1 2.5946e-05
27 CLDN18 0.00012275
28 KLHL25 0.00014105
29 CHRNA3 0.00014261
30 RAB4B 0.00014809
31 NRROS 0.00014854
32 HSPA1L 0.00014943
33 HLA-A 2.5946e-05
34 PCGF6 0.00015588
35 ADAL 0.00016201
36 ZSCAN29 0.00016313
37 PDCD11 0.00018924
38 LY6G6F 0.00019751
39 TAF5 7.2345e-05
40 MAP1A 0.00022023
41 ALDH2 0.00023163
42 PPIP5K1 0.00023452
43 PRR12 0.00024014
44 HLA-B 2.5946e-05
45 BTN3A1 0.00029359
46 NEURL1 0.00029576
47 EGLN2 0.00029647
48 TUBGCP4 0.00030493
49 HLA-DRA 2.5946e-05
50 JUP 0.00031709
51 IMPA1 0.00034377
52 PSCA 0.00034664
53 OCSTAMP 0.00035862
54 SLC10A5 0.00040833
55 SNRNP48 0.00040948
56 NEMF 0.00047643
57 INHBC 0.00048483
58 MED12L 0.00050279
59 PPP1R18 0.00051614
60 KAT7 0.00053352
61 TRIM39 0.00054614
62 TAPBP 0.00015085
63 PITPNM1 0.00056531
64 ZFAND1 0.00056625
65 DHX16 0.00057432
66 CUX2 0.00060565
67 MDC1 6.6213e-05
68 EHMT2 0.00015588
69 TFAP2C 0.00071569
70 FLOT1 0.00071749
71 TMEM116 0.00072117
72 DSG2 0.00031709
73 MAPKAPK5 0.00076367
74 GGTLC1 0.00080089
75 TEAD1 0.00083039
76 HAP1 1.728e-05
77 HFE 0.00026653
78 THBS3 0.00088396
79 CDSN 6.1921e-06
80 BAG6 0.00094474
81 SLC5A1 0.00095667
82 NR5A1 0.00096519
83 TET2 0.0009835
84 CCL7 0.001
85 TRIM39-RPP21 0.00054614
86 PRC1 0.0010251
87 TMPRSS2 0.0010534
88 COL14A1 0.0010689
